!!!SBtab DocumentName='None' SBtabVersion='1.0' Date='2021-3-4'
!!SBtab TableID='Thermodynamics' TableType='Quantity' TableName='Thermodynamics' SBtabVersion='1.0'
reaction_id	reaction_formula	standard_dg_prime_in_kJ_per_mol	dg_sigma_in_kJ_per_mol
R_NDPK5	M_atp_c + M_dgdp_c <=> M_adp_c + M_dgtp_c	1.77	2.41
R_SHK3Dr	M_nadph_c + M_3dhsk_c <=> M_nadp_c + M_skm_c	-6.53	1.31
R_NDPK6	M_atp_c + M_dudp_c <=> M_adp_c + M_dutp_c	-1.55	1.28
R_NDPK8	M_atp_c + M_dadp_c <=> M_adp_c + M_datp_c	2.39	1.47
R_DHORTS	M_h2o_e + M_dhor__S_c <=> M_cbasp_c	-7.29	1.69
R_OMPDC	M_orot5p_c <=> M_co2_c + M_ump_c	-22.7	8.61
R_G5SD	M_nadph_c + M_glu5p_c <=> M_nadp_c + M_pi_p + M_glu5sa_c	-7.62	1.62
R_CS	M_h2o_e + M_accoa_c + M_oaa_c <=> M_coa_c + M_cit_c	-38.76	0.44
R_ICDHyr	M_nadp_c + M_icit_c <=> M_nadph_c + M_co2_c + M_akg_p	5.41	3.19
R_ACALD	M_nad_c + M_coa_c + M_acald_e <=> M_nadh_c + M_accoa_c	-20.68	1.2
R_PPA	M_h2o_e + M_ppi_c <=> 2 M_pi_p	-16.46	0.19
R_PPCK	M_atp_c + M_oaa_c <=> M_adp_c + M_co2_c + M_pep_c	10.63	3.12
R_ME1	M_nad_c + M_mal__L_e <=> M_nadh_c + M_co2_c + M_pyr_c	12.1	3.12
R_ALATA_L	M_akg_p + M_ala__L_c <=> M_pyr_c + M_glu__L_p	0.16	0.53
R_XYLK	M_atp_c + M_xylu__D_c <=> M_adp_c + M_xu5p__D_c	-24.79	2.03
R_RBK	M_atp_c + M_rib__D_e <=> M_adp_c + M_r5p_c	-29.32	2.04
R_GLYK	M_atp_c + M_glyc_c <=> M_adp_c + M_glyc3p_c	-16.65	2.08
R_ASPTA	M_akg_p + M_asp__L_c <=> M_oaa_c + M_glu__L_p	2.84	0.54
R_FBP	M_h2o_e + M_fdp_c <=> M_pi_p + M_f6p_c	-11.83	0.69
R_PYK	M_adp_c + M_pep_c <=> M_atp_c + M_pyr_c	-25.03	0.42
R_GTHOr	M_nadph_c + M_gthox_c <=> M_nadp_c + 2 M_gthrd_c	-12.6	0.78
R_ILETA	M_akg_p + M_ile__L_c <=> M_3mop_c + M_glu__L_p	-5.93	3.52
R_DHORD5	M_dhor__S_c + M_mqn8_c <=> M_mql8_c + M_orot_c	-17.25	5.02
R_VALTA	M_akg_p + M_val__L_c <=> M_3mob_c + M_glu__L_p	1.72	3.47
R_IPPMIb	M_h2o_e + M_2ippm_c <=> M_3c3hmp_c	-0.39	1.91
R_ORPT	M_ppi_c + M_orot5p_c <=> M_prpp_c + M_orot_c	-3.72	1.31
R_ACHBS	M_pyr_c + M_2obut_c <=> M_co2_c + M_2ahbut_c	-18.3	4.91
R_DHAD2	M_23dhmp_c <=> M_h2o_e + M_3mop_c	-36.93	1.4
R_ACLS	2 M_pyr_c <=> M_co2_c + M_alac__S_c	-27.02	3.73
R_TRPS2	M_ser__L_c + M_indole_c <=> M_h2o_e + M_trp__L_c	-50.67	1.12
R_PSCVT	M_pep_c + M_skm5p_c <=> M_pi_p + M_3psme_c	-16.48	2.3
R_PFL	M_coa_c + M_pyr_c <=> M_accoa_c + M_for_e	-19.81	1.49
R_ANS	M_gln__L_c + M_chor_c <=> M_pyr_c + M_anth_c + M_glu__L_p	-109.08	7.58
R_FRD2	M_fum_e + M_mql8_c <=> M_succ_c + M_mqn8_c	-34.29	5.26
R_ANPRT	M_prpp_c + M_anth_c <=> M_ppi_c + M_pran_c	-62.81	3.62
R_CHORM	M_chor_c <=> M_pphn_c	-48.67	4.64
R_PTAr	M_pi_p + M_accoa_c <=> M_coa_c + M_actp_c	8.67	0.61
R_CHORS	M_3psme_c <=> M_pi_p + M_chor_c	-45.56	3.83
R_IGPS	M_2cpr5p_c <=> M_h2o_e + M_co2_c + M_3ig3p_c	-72.43	6.01
R_ACKr	M_atp_c + M_ac_p <=> M_adp_c + M_actp_c	13.99	0.55
R_LEUTAi	M_4mop_c + M_glu__L_p <=> M_akg_p + M_leu__L_c	-0.32	1.58
R_ENO	M_2pg_c <=> M_h2o_e + M_pep_c	-3.81	0.3
R_FBA	M_fdp_c <=> M_g3p_c + M_dhap_c	23.16	0.53
R_HCO3E	M_h2o_e + M_co2_c <=> M_hco3_c	-8.05	3.1
R_IMPC	M_h2o_e + M_imp_c <=> M_fprica_c	19.59	5.44
R_IMPD	M_h2o_e + M_nad_c + M_imp_c <=> M_nadh_c + M_xmp_c	16.48	3.98
R_PPS	M_h2o_e + M_atp_c + M_pyr_c <=> M_pi_p + M_amp_c + M_pep_c	-4.95	0.5
R_PGI	M_g6p_c <=> M_f6p_c	2.64	0.38
R_PGK	M_atp_c + M_3pg_c <=> M_adp_c + M_13dpg_c	19.55	0.44
R_PGL	M_h2o_e + M_6pgl_c <=> M_6pgc_c	-25.38	1.66
R_RPE	M_ru5p__D_c <=> M_xu5p__D_c	-3.39	1.15
R_DHQTi	M_3dhq_c <=> M_h2o_e + M_3dhsk_c	-5.29	2.07
R_IPMD	M_nad_c + M_3c2hmp_c <=> M_nadh_c + M_3c4mop_c	15.63	0.99
R_AIRC3	M_5aizc_c <=> M_5caiz_c	-30.73	6.03
R_TALA	M_g3p_c + M_s7p_c <=> M_e4p_c + M_f6p_c	-0.94	1.41
R_ADSL2r	M_25aics_c <=> M_fum_e + M_aicar_c	23.88	2.93
R_TKT1	M_xu5p__D_c + M_r5p_c <=> M_g3p_c + M_s7p_c	-1.5	2.37
R_RNDR1	M_adp_c + M_trdrd_c <=> M_h2o_e + M_trdox_c + M_dadp_c	-42.71	3.74
R_ALCD2x	M_nad_c + M_etoh_p <=> M_nadh_c + M_acald_e	18.06	0.32
R_RNDR3	M_cdp_c + M_trdrd_c <=> M_h2o_e + M_trdox_c + M_dcdp_c	-39.65	2.94
R_RNDR4	M_udp_c + M_trdrd_c <=> M_h2o_e + M_trdox_c + M_dudp_c	-41.7	2.41
R_TMDS	M_mlthf_c + M_dump_c <=> M_dtmp_c + M_dhf_c	-45.28	2.94
R_DHAD1	M_23dhmb_c <=> M_h2o_e + M_3mob_c	-36.93	1.4
R_IPPMIa	M_3c2hmp_c <=> M_h2o_e + M_2ippm_c	-3.7	1.9
R_MDH	M_nad_c + M_mal__L_e <=> M_nadh_c + M_oaa_c	26.5	0.3
R_FUM	M_h2o_e + M_fum_e <=> M_mal__L_e	-3.42	0.28
R_KARA1	M_nadp_c + M_23dhmb_c <=> M_nadph_c + M_alac__S_c	15.62	1.01
R_KARA2	M_nadph_c + M_2ahbut_c <=> M_nadp_c + M_23dhmp_c	-15.62	1.01
R_ARGSS	M_atp_c + M_asp__L_c + M_citr__L_c <=> M_ppi_c + M_amp_c + M_argsuc_c	16.88	4.51
R_AGPR	M_nadp_c + M_pi_p + M_acg5sa_c <=> M_nadph_c + M_acg5p_c	4.48	1.62
R_ICL	M_icit_c <=> M_succ_c + M_glx_c	9.54	1.35
R_GLYCL	M_nad_c + M_gly_c + M_thf_c <=> M_nadh_c + M_co2_c + M_nh4_e + M_mlthf_c	18.59	4.07
R_XYLI1	M_xyl__D_c <=> M_xylu__D_c	3.67	0.58
R_PPC	M_h2o_e + M_co2_c + M_pep_c <=> M_pi_p + M_oaa_c	-40.27	3.11
R_G3PT	M_h2o_e + M_glyc3p_c <=> M_pi_p + M_glyc_c	-12.99	2.08
R_SADT2	M_h2o_e + M_atp_c + M_gtp_c + M_so4_p <=> M_pi_p + M_ppi_c + M_gdp_c + M_aps_c	19.54	1.79
R_GHMT2r	M_ser__L_c + M_thf_c <=> M_h2o_e + M_gly_c + M_mlthf_c	-10.11	2.51
R_DHORD2	M_q8_c + M_dhor__S_c <=> M_q8h2_c + M_orot_c	-125.15	6.33
R_SDPDS	M_h2o_e + M_sl26da_c <=> M_succ_c + M_26dap_LL_c	8.02	3.74
R_UMPK	M_atp_c + M_ump_c <=> M_adp_c + M_udp_c	-0.59	3.19
R_CTPS2	M_h2o_e + M_atp_c + M_gln__L_c + M_utp_c <=> M_adp_c + M_pi_p + M_ctp_c + M_glu__L_p	-20.96	2.63
R_NDPK7	M_atp_c + M_dcdp_c <=> M_adp_c + M_dctp_c	4.06	2.41
R_TRPS3	M_3ig3p_c <=> M_g3p_c + M_indole_c	19.18	2.93
R_ADK1	M_atp_c + M_amp_c <=> 2 M_adp_c	0.33	0.16
R_NDPK2	M_atp_c + M_udp_c <=> M_adp_c + M_utp_c	-0.42	1.26
R_NDPK4	M_atp_c + M_dtdp_c <=> M_adp_c + M_dttp_c	0.11	2.62
R_ACODA	M_h2o_e + M_acorn_c <=> M_ac_p + M_orn_c	-7.14	3.5
R_ADSS	M_asp__L_c + M_gtp_c + M_imp_c <=> M_pi_p + M_gdp_c + M_dcamp_c	-0.57	2.13
R_ASNS2	M_atp_c + M_nh4_e + M_asp__L_c <=> M_ppi_c + M_amp_c + M_asn__L_c	-25.67	3.56
R_ASPCT	M_asp__L_c + M_cbp_c <=> M_pi_p + M_cbasp_c	-22.47	2.93
R_DAPE	M_26dap_LL_c <=> M_26dap__M_c	-1.65	2.93
R_DHDPRy	M_nadph_c + M_23dhdp_c <=> M_nadp_c + M_thdp_c	-21.1	3.94
R_HSK	M_atp_c + M_hom__L_c <=> M_adp_c + M_phom_c	-39.41	4.49
R_SDPTA	M_akg_p + M_sl26da_c <=> M_sl2a6o_c + M_glu__L_p	-0.92	2.93
R_THRS	M_h2o_e + M_phom_c <=> M_pi_p + M_thr__L_c	-29.37	2.81
R_HSST	M_succoa_c + M_hom__L_c <=> M_coa_c + M_suchms_c	-29.94	5.45
R_PPNDH	M_pphn_c <=> M_h2o_e + M_co2_c + M_phpyr_c	-64.73	11.32
R_DTMPK	M_atp_c + M_dtmp_c <=> M_adp_c + M_dtdp_c	-1.66	2.93
R_NDPK1	M_atp_c + M_gdp_c <=> M_adp_c + M_gtp_c	-2.67	1.33
R_TRDR	M_nadph_c + M_trdox_c <=> M_nadp_c + M_trdrd_c	-7.74	1.47
R_DDPA	M_h2o_e + M_pep_c + M_e4p_c <=> M_pi_p + M_2dda7p_c	-74.35	2.35
R_MALS	M_h2o_e + M_accoa_c + M_glx_c <=> M_coa_c + M_mal__L_e	-38.65	2.08
R_NADTRHD	M_nadph_c + M_nad_c <=> M_nadp_c + M_nadh_c	-0.0	0.34
R_G3PD2	M_nadp_c + M_glyc3p_c <=> M_nadph_c + M_dhap_c	22.63	0.81
R_GMPS2	M_h2o_e + M_atp_c + M_gln__L_c + M_xmp_c <=> M_ppi_c + M_amp_c + M_gmp_c + M_glu__L_p	-0.0	67656.96
R_P5CR	M_nadph_c + M_1pyr5c_c <=> M_nadp_c + M_pro__L_c	-15.21	6.03
R_G5SADs	M_glu5sa_c <=> M_h2o_e + M_1pyr5c_c	-36.7	5.0
R_AKGDH	M_nad_c + M_coa_c + M_akg_p <=> M_nadh_c + M_co2_c + M_succoa_c	-28.21	3.88
R_ATPPRT	M_atp_c + M_prpp_c <=> M_ppi_c + M_prbatp_c	-42.16	100000.0
R_HISTD	M_h2o_e + 2 M_nad_c + M_histd_c <=> 2 M_nadh_c + M_his__L_c	-17.21	2.24
R_DHDPS	M_pyr_c + M_aspsa_c <=> 2 M_h2o_e + M_23dhdp_c	-128.2	6.22
R_IGPDH	M_eig3p_c <=> M_h2o_e + M_imacp_c	-41.33	1.95
R_PRPPS	M_atp_c + M_r5p_c <=> M_amp_c + M_prpp_c	-1.06	2.02
R_PRATPP	M_h2o_e + M_prbatp_c <=> M_ppi_c + M_prbamp_c	-42.16	141421.36
R_GLUN	M_h2o_e + M_gln__L_c <=> M_nh4_e + M_glu__L_p	-14.35	0.86
R_PRMICI	M_prfp_c <=> M_prlp_c	-9.78	1.35
R_GLUPRT	M_h2o_e + M_gln__L_c + M_prpp_c <=> M_ppi_c + M_glu__L_p + M_pram_c	-64.11	2.72
R_SERAT	M_accoa_c + M_ser__L_c <=> M_coa_c + M_acser_c	-6.4	2.93
R_CYSS	M_acser_c + M_h2s_c <=> M_ac_p + M_cys__L_c	-51.28	5.24
R_BPNT	M_h2o_e + M_pap_c <=> M_pi_p + M_amp_c	-7.67	3.13
R_PAPSR	M_paps_c + M_trdrd_c <=> M_pap_c + M_trdox_c + M_so3_c	-42.79	6.27
R_ASPK	M_atp_c + M_asp__L_c <=> M_adp_c + M_4pasp_c	21.85	2.93
R_ASAD	M_nadp_c + M_pi_p + M_aspsa_c <=> M_nadph_c + M_4pasp_c	-24.21	1.69
R_DAPDC	M_26dap__M_c <=> M_co2_c + M_lys__L_c	-15.49	3.73
R_OCBT	M_cbp_c + M_orn_c <=> M_pi_p + M_citr__L_c	-30.31	2.93
R_GARFT	M_10fthf_c + M_gar_c <=> M_thf_c + M_fgam_c	1.94	5.6
R_PHETA1	M_akg_p + M_phe__L_c <=> M_glu__L_p + M_phpyr_c	-0.08	2.07
R_PPND	M_nad_c + M_pphn_c <=> M_nadh_c + M_co2_c + M_34hpp_c	-10.78	11.29
R_PRAMPC	M_h2o_e + M_prbamp_c <=> M_prfp_c	-42.16	116582.8
R_GLYCK2	M_atp_c + M_glyc__R_p <=> M_adp_c + M_2pg_c	-10.88	0.71
R_ACOTA	M_akg_p + M_acorn_c <=> M_acg5sa_c + M_glu__L_p	-3.22	3.37
R_SULR	3 M_nadph_c + M_so3_c <=> 3 M_h2o_e + 3 M_nadp_c + M_h2s_c	-109.7	4.69
R_PRAGSr	M_atp_c + M_gly_c + M_pram_c <=> M_adp_c + M_pi_p + M_gar_c	-27.23	2.32
R_PRFGS	M_h2o_e + M_atp_c + M_gln__L_c + M_fgam_c <=> M_adp_c + M_pi_p + M_glu__L_p + M_fpram_c	15.16	48207.3
R_PSERT	M_3php_c + M_glu__L_p <=> M_akg_p + M_pser__L_c	-10.9	0.38
R_AIRC2	M_atp_c + M_hco3_c + M_air_c <=> M_adp_c + M_pi_p + M_5caiz_c	-56.38	5.98
R_GAPD	M_nad_c + M_pi_p + M_g3p_c <=> M_nadh_c + M_13dpg_c	1.16	0.41
R_GND	M_nadp_c + M_6pgc_c <=> M_nadph_c + M_co2_c + M_ru5p__D_c	10.31	3.18
R_G6PDH2r	M_nadp_c + M_g6p_c <=> M_nadph_c + M_6pgl_c	-6.82	1.32
R_ME2	M_nadp_c + M_mal__L_e <=> M_nadph_c + M_co2_c + M_pyr_c	12.11	3.14
R_ARGSL	M_argsuc_c <=> M_arg__L_c + M_fum_e	-9.63	4.89
R_CBPS	M_h2o_e + 2 M_atp_c + M_gln__L_c + M_hco3_c <=> 2 M_adp_c + M_pi_p + M_cbp_c + M_glu__L_p	-15.04	2.65
R_GLU5K	M_atp_c + M_glu__L_p <=> M_adp_c + M_glu5p_c	28.86	2.3
R_IPPS	M_h2o_e + M_accoa_c + M_3mob_c <=> M_coa_c + M_3c3hmp_c	-26.48	1.35
R_PSP_L	M_h2o_e + M_pser__L_c <=> M_pi_p + M_ser__L_c	-10.37	0.28
R_ADSK	M_atp_c + M_aps_c <=> M_adp_c + M_paps_c	-17.41	5.95
R_HSDy	M_nadp_c + M_hom__L_c <=> M_nadph_c + M_aspsa_c	19.44	1.7
R_CYSTL	M_h2o_e + M_cyst__L_c <=> M_nh4_e + M_pyr_c + M_hcys__L_c	0.53	2.71
R_SHSL1	M_cys__L_c + M_suchms_c <=> M_succ_c + M_cyst__L_c	-64.51	5.57
R_THD2pp	M_nadp_c + M_nadh_c <=> M_nadph_c + M_nad_c	0.0	0.34
