!!!ObjTables DocumentName='' Name='' ObjTablesVersion='1.0' Date='2021-4-5' schema='SBtab' objTablesVersion='1.0.1'
!!ObjTables TableID='compartment' Document='Escherichia_coli_iCH360' TableType='Compartment' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compartment' name='Compartment' objTablesVersion='1.0.1'
!ID	!Name	!Size	!Unit	!SBOTerm
c	cytosol	nan		
e	extracellular space	nan		
p	periplasm	nan		

!!ObjTables TableID='compound' Document='Escherichia_coli_iCH360' TableType='Compound' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compound' name='Compound' objTablesVersion='1.0.1'
!ID	!Name	!Location	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge	!Identifiers:biocyc	!Identifiers:obo.chebi	!Identifiers:hmdb	!Identifiers:bigg.metabolite	!Identifiers:inchikey	!Identifiers:kegg.compound	!Identifiers:metanetx.chemical	!Identifiers:reactome	!Identifiers:sabiork.compound	!Identifiers:seed.compound	!Identifiers:kegg_compound	!Identifiers:envipath/650babc9-9d68-4b73-9332-11972ca26f7b/compound	!Identifiers:envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound	!Identifiers:kegg.drug	!Identifiers:envipath/4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound	!Identifiers:lipidmaps	!Identifiers:envipath/5882df9c-dae1-4d80-a40e-db4724271456/compound	!Identifiers:seed_compound	!Identifiers:slm	!Identifiers:sabiork	!Identifiers:kegg_glycan	!Identifiers:metanetx_chemical	!Identifiers:reactome_compound
M_dhap_c	Dihydroxyacetone phosphate	c	False	SBO:0000247	nan	False	C3H5O6P	-2	META:DIHYDROXY-ACETONE-PHOSPHATE	CHEBI:57642	HMDB01473	dhap	GNGACRATGGDKBX-UHFFFAOYSA-L	C00111	MNXM77	188451	28	cpd00095													
M_prbatp_c	1-(5-Phosphoribosyl)-ATP	c	False	SBO:0000247	nan	False	C15H19N5O20P4	-6	META:PHOSPHORIBOSYL-ATP	CHEBI:11192	HMDB03665	prbatp	RKNHJBVBFHDXGR-KEOHHSTQSA-H		MNXM1351			cpd01775	C02739												
M_10fthf_c	10-Formyltetrahydrofolate	c	False	SBO:0000247	nan	False	C20H21N7O7	-2	META:10-FORMYL-THF	CHEBI:57454	HMDB00972	10fthf	AUFGTPPARQZWDO-YPMHNXCESA-L	C00234	MNXM237	419151	1318	cpd00201													
M_co2_e	CO2 CO2	e	False	SBO:0000247	nan	False	CO2	0	META:CARBON-DIOXIDE	CHEBI:13282	HMDB01967	co2	CURLTUGMZLYLDI-UHFFFAOYSA-N	C00011	MNXM13	159942	1266	cpd00011		2ec3da94-5f50-4525-81b1-5607c5c7a3d3	05f60af4-0a3f-4ead-9a29-33bb0f123379	D00004									
M_akg_e	2-Oxoglutarate	e	False	SBO:0000247	nan	False	C5H4O5	-2	META:2-KETOGLUTARATE	CHEBI:19748	HMDB62781	akg	KPGXRSRHYNQIFN-UHFFFAOYSA-L	C00026	MNXM20	389537	1922	cpd00024			5b0a94f6-d411-44fd-bcc1-fb79b4e697f5		6557f3f2-0ab8-494b-a865-8ce0eae788a9								
M_2pg_c	D-Glycerate 2-phosphate	c	False	SBO:0000247	nan	False	C3H4O7P	-3	META:2-PG	CHEBI:88350	HMDB03391	2pg	GXIURPTVHJPJLF-UWTATZPHSA-K	C00631	MNXM275	30485	31	cpd00482													
M_13dpg_c	3-Phospho-D-glyceroyl phosphate	c	False	SBO:0000247	nan	False	C3H4O10P2	-4	META:DPG	CHEBI:1658	HMDB62758	13dpg	LJQLQCAXBUHEAZ-UWTATZPHSA-J	C00236	MNXM261	29800	21215	cpd00203													
M_prbamp_c	1-(5-Phosphoribosyl)-AMP	c	False	SBO:0000247	nan	False	C15H19N5O14P2	-4	META:PHOSPHORIBOSYL-AMP	CHEBI:20628	HMDB12276	prbamp	RTQMRTSPTLIIHM-KEOHHSTQSA-J		MNXM1515			cpd01777	C02741												
M_fpram_c	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	c	False	SBO:0000247	nan	False	C8H15N3O8P	-1		CHEBI:11474	HMDB06211	fpram	PMCOGCVKOAOZQM-ZRTZXPPTSA-M		MNXM479745	111369															
M_thr__L_c	L-Threonine	c	False	SBO:0000247	nan	False	C4H9NO3	0	META:THR	CHEBI:26986	HMDB00167	thr__L	AYFVYJQAPQTCCC-GBXIJSLDSA-N	C00188	MNXM142	379706	27463	cpd00161			b570a573-71c2-4661-a517-6ac1b121dc59	D00041									
