!!!ObjTables DocumentName='' Name='' ObjTablesVersion='1.0' Date='2021-3-30' schema='SBtab' objTablesVersion='1.0.1'
!!ObjTables TableID='compartment' Document='Escherichia_coli_iCH360_wo_exchange' TableType='Compartment' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compartment' name='Compartment' objTablesVersion='1.0.1'
!ID	!Name	!Size	!Unit	!SBOTerm
c	cytosol	nan		
e	extracellular space	nan		
p	periplasm	nan		

!!ObjTables TableID='compound' Document='Escherichia_coli_iCH360_wo_exchange' TableType='Compound' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compound' name='Compound' objTablesVersion='1.0.1'
!ID	!Name	!Location	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge	!Identifiers:bigg_metabolite	!Identifiers:biocyc	!Identifiers:obo.chebi	!Identifiers:hmdb	!Identifiers:inchi_key	!Identifiers:kegg_compound	!Identifiers:metanetx_chemical	!Identifiers:reactome_compound	!Identifiers:sabiork	!Identifiers:seed_compound	!Identifiers:envipath/650babc9-9d68-4b73-9332-11972ca26f7b/compound	!Identifiers:envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound	!Identifiers:kegg_drug	!Identifiers:envipath/4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound	!Identifiers:lipidmaps	!Identifiers:envipath/5882df9c-dae1-4d80-a40e-db4724271456/compound	!Identifiers:slm	!Identifiers:kegg_glycan
M_dhap_c	Dihydroxyacetone phosphate	c	False	SBO:0000247	nan	False	C3H5O6P	-2	dhap	META:DIHYDROXY-ACETONE-PHOSPHATE	CHEBI:57642	HMDB01473	GNGACRATGGDKBX-UHFFFAOYSA-L	C00111	MNXM77	188451	28	cpd00095								
M_prbatp_c	1-(5-Phosphoribosyl)-ATP	c	False	SBO:0000247	nan	False	C15H19N5O20P4	-6	prbatp	META:PHOSPHORIBOSYL-ATP	CHEBI:11192	HMDB03665	RKNHJBVBFHDXGR-KEOHHSTQSA-H	C02739	MNXM1351			cpd01775								
M_10fthf_c	10-Formyltetrahydrofolate	c	False	SBO:0000247	nan	False	C20H21N7O7	-2	10fthf	META:10-FORMYL-THF	CHEBI:57454	HMDB00972	AUFGTPPARQZWDO-YPMHNXCESA-L	C00234	MNXM237	419151	1318	cpd00201								
M_co2_e	CO2 CO2	e	False	SBO:0000247	nan	False	CO2	0	co2	META:CARBON-DIOXIDE	CHEBI:13282	HMDB01967	CURLTUGMZLYLDI-UHFFFAOYSA-N	C00011	MNXM13	159942	1266	cpd00011	2ec3da94-5f50-4525-81b1-5607c5c7a3d3	05f60af4-0a3f-4ead-9a29-33bb0f123379	D00004					
M_akg_e	2-Oxoglutarate	e	False	SBO:0000247	nan	False	C5H4O5	-2	akg	META:2-KETOGLUTARATE	CHEBI:19748	HMDB62781	KPGXRSRHYNQIFN-UHFFFAOYSA-L	C00026	MNXM20	389537	1922	cpd00024		5b0a94f6-d411-44fd-bcc1-fb79b4e697f5		6557f3f2-0ab8-494b-a865-8ce0eae788a9				
M_2pg_c	D-Glycerate 2-phosphate	c	False	SBO:0000247	nan	False	C3H4O7P	-3	2pg	META:2-PG	CHEBI:88350	HMDB03391	GXIURPTVHJPJLF-UWTATZPHSA-K	C00631	MNXM275	30485	31	cpd00482								
M_13dpg_c	3-Phospho-D-glyceroyl phosphate	c	False	SBO:0000247	nan	False	C3H4O10P2	-4	13dpg	META:DPG	CHEBI:1658	HMDB62758	LJQLQCAXBUHEAZ-UWTATZPHSA-J	C00236	MNXM261	29800	21215	cpd00203								
M_prbamp_c	1-(5-Phosphoribosyl)-AMP	c	False	SBO:0000247	nan	False	C15H19N5O14P2	-4	prbamp	META:PHOSPHORIBOSYL-AMP	CHEBI:20628	HMDB12276	RTQMRTSPTLIIHM-KEOHHSTQSA-J	C02741	MNXM1515			cpd01777								
M_fpram_c	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	c	False	SBO:0000247	nan	False	C8H15N3O8P	-1	fpram		CHEBI:11474	HMDB06211	PMCOGCVKOAOZQM-ZRTZXPPTSA-M		MNXM479745	111369										
M_thr__L_c	L-Threonine	c	False	SBO:0000247	nan	False	C4H9NO3	0	thr__L	META:THR	CHEBI:26986	HMDB00167	AYFVYJQAPQTCCC-GBXIJSLDSA-N	C00188	MNXM142	379706	27463	cpd00161		b570a573-71c2-4661-a517-6ac1b121dc59	D00041					
M_fum_p	Fumarate	p	False	SBO:0000247	nan	False	C4H2O4	-2	fum	META:FUM	CHEBI:24122	HMDB00134	VZCYOOQTPOCHFL-OWOJBTEDSA-L	C00122	MNXM93	29586	1910	cpd00106		709035ec-4868-4de8-9095-06428f6be14b	D02308					
M_flxr_c	Flavodoxin reduced	c	False	SBO:0000247	nan	False	XH	-1	flxr						MNXM6271			cpd15465								
M_gln__L_e	L-Glutamine	e	False	SBO:0000247	nan	False	C5H10N2O3	0	gln__L	META:GLN	CHEBI:24316	HMDB00641	ZDXPYRJPNDTMRX-VKHMYHEASA-N	C00064	MNXM37	29472	74	cpd00053			D00015					
M_3ohexACP_c	3-Oxohexanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C17H29N2O9PRS	-1	3ohexACP	META:3-oxo-hexanoyl-ACPs	CHEBI:1642			C05746	MNXM25602		8106	cpd11486					LMFA07060005			
M_3ocddec5eACP_c	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C23H39N2O9PRS	-1	3ocddec5eACP						MNXM6837			cpd15373								
M_r5p_c	Alpha-D-Ribose 5-phosphate	c	False	SBO:0000247	nan	False	C5H9O8P	-2	r5p	META:CPD-15318	CHEBI:10270		KTVPXOYAKDPRHY-AIHAYLRMSA-L	C03736	MNXM15900		1473	cpd19028								
M_akg_c	2-Oxoglutarate	c	False	SBO:0000247	nan	False	C5H4O5	-2	akg	META:2-KETOGLUTARATE	CHEBI:19748	HMDB62781	KPGXRSRHYNQIFN-UHFFFAOYSA-L	C00026	MNXM20	389537	1922	cpd00024		5b0a94f6-d411-44fd-bcc1-fb79b4e697f5		6557f3f2-0ab8-494b-a865-8ce0eae788a9				
M_ac_c	Acetate	c	False	SBO:0000247	nan	False	C2H3O2	-1	ac	META:ACET	CHEBI:40486	HMDB00042	QTBSBXVTEAMEQO-UHFFFAOYSA-M	C00033	MNXM26	29416	1278	cpd00029	3e2d750f-df31-4445-9255-163c627e9b4a	b545cabc-8c9e-4b20-8848-efa015b481ea	D00010	d45256fe-61fa-4f5b-bb16-91a3d615e3d8	LMFA01010002	5e4989fc-13d3-45d4-ad57-3be380a9d3c0	000000449	
M_dca_c	Decanoate (n-C10:0)	c	False	SBO:0000247	nan	False	C10H19O2	-1	dca						MNXM162295											
M_citr__L_c	L-Citrulline	c	False	SBO:0000247	nan	False	C6H13N3O3	0	citr__L	META:L-CITRULLINE	CHEBI:57743	HMDB00904	RHGKLRLOHDJJDR-BYPYZUCNSA-N	C00327	MNXM211	29968	1329	cpd00274			D07706					
M_34hpp_c	3-(4-Hydroxyphenyl)pyruvate	c	False	SBO:0000247	nan	False	C9H7O4	-1	34hpp	META:P-HYDROXY-PHENYLPYRUVATE	CHEBI:1431	HMDB00707	KKADPXVIOXHVKN-UHFFFAOYSA-M	C01179	MNXM153	31365	5423	cpd00868		f2e806ef-76ea-4ddf-bf89-db7737caa79b						
M_pep_c	Phosphoenolpyruvate	c	False	SBO:0000247	nan	False	C3H2O6P	-3	pep	META:PHOSPHO-ENOL-PYRUVATE	CHEBI:44897	HMDB00263	DTBNBXWJWCWCIK-UHFFFAOYSA-K	C00074	MNXM73	29492	32	cpd00061								
M_h_c	H+	c	False	SBO:0000247	nan	False	H	1	h	META:PROTON	CHEBI:10744	HMDB59597	GPRLSGONYQIRFK-UHFFFAOYSA-N	C00080	MNXM1	372511	39	cpd00067								
M_rib__D_c	D-Ribose	c	False	SBO:0000247	nan	False	C5H10O5	0	rib__D	META:D-Ribopyranose	CHEBI:21078	HMDB00283	HMFHBZSHGGEWLO-SOOFDHNKSA-N	C00121	MNXM242		1653	cpd00105								
M_gthrd_c	Reduced glutathione	c	False	SBO:0000247	nan	False	C10H16N3O6S	-1	gthrd	META:GLUTATHIONE	CHEBI:42873	HMDB06960	RWSXRVCMGQZWBV-WDSKDSINSA-M	C00051	MNXM57	158543	1926	cpd00042			D00014					
M_actACP_c	Acetoacetyl-ACP	c	False	SBO:0000247	nan	False	C15H25N2O9PRS	-1	actACP	META:Acetoacetyl-ACP	CHEBI:2393			C05744	MNXM1223		8104	cpd11488								
M_hdcea_c	Hexadecenoate (n-C16:1)	c	False	SBO:0000247	nan	False	C16H29O2	-1	hdcea						MNXM950											
M_actp_c	Acetyl phosphate	c	False	SBO:0000247	nan	False	C2H3O5P	-2	actp	META:ACETYL-P	CHEBI:2407	HMDB01494	LIPOUNRJVLNBCD-UHFFFAOYSA-L	C00227	MNXM280		1316	cpd00196								
M_pyr_p	Pyruvate	p	False	SBO:0000247	nan	False	C3H3O3	-1	pyr	META:PYRUVATE	CHEBI:15361	HMDB00243	LCTONWCANYUPML-UHFFFAOYSA-M	C00022	MNXM23	389680	33	cpd00020	ccc99777-54dc-42d4-a97e-009b780d3905	dc01020e-8c7e-4087-9f56-cf8c962b7437			LMFA01060077			
M_cyst__L_c	L-Cystathionine	c	False	SBO:0000247	nan	False	C7H14N2O4S	0	cyst__L	META:L-CYSTATHIONINE	CHEBI:58161	HMDB03614	ILRYLPWNYFXEMH-WHFBIAKZSA-N	C02291	MNXM319	1614518	6114	cpd19019								
M_dutp_c	DUTP C9H11N2O14P3	c	False	SBO:0000247	nan	False	C9H11N2O14P3	-4	dutp	META:DUTP	CHEBI:58212	HMDB01191	AHCYMLUZIRLXAA-SHYZEUOFSA-J	C00460	MNXM452	500739	1680	cpd00358								
M_octa_c	Octanoate (n-C8:0)	c	False	SBO:0000247	nan	False	C8H15O2	-1	octa	META:CPD-195	CHEBI:44501	HMDB00482	WWZKQHOCKIZLMA-UHFFFAOYSA-M	C06423	MNXM750		2889	cpd03846	fa5b4ef6-749e-42db-a909-7c6e56587bdd	2202db6c-dc64-4714-9f17-23dbbb8d637f	D05220		LMFA01010008	7623a8e3-3436-493a-ad6e-13af00ad46d8	000000853	
M_h2o_p	H2O H2O	p	False	SBO:0000247	nan	False	H2O	0	h2o	META:OH	CHEBI:44701	HMDB01039	XLYOFNOQVPJJNP-UHFFFAOYSA-N	C00001	MNXM2	351603	40	cpd15275	e7f34a8e-cded-4793-b6d5-792335b38636		D06322			969d0227-3069-4e44-9525-7ae7bad84170		
M_glyc3p_c	Glycerol 3-phosphate	c	False	SBO:0000247	nan	False	C3H7O6P	-2	glyc3p	META:GLYCEROL-3P	CHEBI:15978	HMDB00126	AWUCVROLDVIAJX-GSVOUGTGSA-L	C00093	MNXM66	76114	1296	cpd00080								
M_2ahbut_c	(S)-2-Aceto-2-hydroxybutanoate	c	False	SBO:0000247	nan	False	C6H9O4	-1	2ahbut	META:2-ACETO-2-HYDROXY-BUTYRATE	CHEBI:373	HMDB06900	VUQLHQFKACOHNZ-LURJTMIESA-M	C06006	MNXM114220		2852	cpd19045					LMFA01050383			
M_ser__L_c	L-Serine	c	False	SBO:0000247	nan	False	C3H7NO3	0	ser__L	META:Serines	CHEBI:9116	HMDB62263	MTCFGRXMJLQNBG-REOHCLBHSA-N	C00065	MNXM53	200736	75	cpd30743		207ebcd7-f859-4b01-8a69-9b99fb380595	D00016		LMFA01100045			
