,fluxes
NDPK5,0.027354571674619535
SHK3Dr,0.3847520692394463
NDPK6,0.02649293861043398
NDPK8,0.0
DHORTS,-0.3349282132400255
OMPDC,0.3349282132400255
G5SD,0.22381703525680205
CS,1.0843363551760783
ICDHyr,1.0843363551760783
ACALD,0.0
PPA,3.169334471297464
PPCK,0.0
ME1,0.0
ALATA_L,-1.0188947670790538
XYLK,0.0
RBK,0.0
GLYK,0.0
ASPTA,-2.9625212735024102
FBP,0.0
EX_pi_e,-0.9755721401103989
PYK,3.385782678924155
EX_co2_e,24.142619829094443
GTHOr,0.0
ILETA,-0.2941590981254595
DHORD5,0.3349282132400255
VALTA,0.0
IPPMIb,-0.4561602891193698
ORPT,-0.3349282132400255
ACHBS,0.2941590981254595
DHAD2,0.2941590981254595
ACLS,0.8851928053965283
TRPS2,0.057553241207402676
PSCVT,0.3847520692394463
PFL,0.0
ANS,0.057553241207402676
FRD2,0.3349282132400255
ANPRT,0.057553241207402676
CHORM,0.32719882803204364
PTAr,11.65558008609801
CHORS,0.3847520692394463
IGPS,0.057553241207402676
ACKr,-11.65558008609801
LEUTAi,0.4561602891193698
EX_glcn_e,0.0
EX_h_e,21.54252891162332
EX_gln__L_e,0.0
EX_glyc_e,0.0
EX_ac_e,12.243379885017717
EX_akg_e,0.0
EX_pyr_e,0.0
EX_succ_e,0.0
EX_rib__D_e,0.0
EX_fum_e,0.0
EX_glu__L_e,0.0
ENO,23.290909973199
FBA,11.611742411719556
HCO3E,3.530065101702821
IMPC,-0.5480806408998289
IMPD,0.24536393683016616
PPS,0.0
PGI,7.429957533917411
PGK,-25.084317184223494
PGL,7.59127459086947
RPE,4.277453485286006
DHQTi,0.3847520692394463
IPMD,0.4561602891193698
AIRC3,-0.4521589097190906
TALA,2.331102777262726
ADSL2r,0.4521589097190906
TKT1,2.331102777262726
RNDR1,0.0
ALCD2x,0.0
RNDR3,0.027354571674619535
RNDR4,0.02649293861043398
TMDS,0.02649293861043398
EX_glc__D_e,-15.02123212478688
DHAD1,0.8851928053965283
IPPMIa,-0.4561602891193698
MDH,-2.5278627156140943e-12
FUM,1.0543634719809667
EX_fru_e,0.0
EX_xyl__D_e,0.0
KARA1,-0.8851928053965283
KARA2,0.2941590981254595
EX_for_e,0.0006773590128556268
ACCOAC,2.4434901205514903
KAS14,0.3603266449851427
ARGSS,0.2994878581922146
AGPR,-0.2994878581922146
ICL,0.0
EX_acald_e,0.0
GLYCL,0.05523513439137262
XYLI1,0.0
PPC,4.046857628681016
G3PT,0.0
SADT2,0.2489137435552385
AACPS1,0.0
GHMT2r,1.1276868257514878
DHORD2,0.0
SDPDS,0.37558392893838843
EX_lac__D_e,0.0
UMPK,0.38276251698195557
CTPS2,0.16253072576778696
NDPK7,0.027354571674619535
TRPS3,0.057553241207402676
ADK1,2.286307392251478
NDPK2,0.40410388211345166
NDPK4,0.02649293861043398
ACODA,0.2994878581922146
ADSS,0.30271670406966267
ASNS2,0.0
ASPCT,0.3349282132400255
MCOATA,2.4434901205514903
DAPE,0.37558392893838843
DHDPRy,0.37558392893838843
HSK,0.5510158632888458
SDPTA,-0.37558392893838843
THRS,0.5510158632888458
