,reaction_id,dir,kapp,mw,enzyme_mass_bound
0,3OAR100,fwd,13812.0684876,25.5600137,0.10858436199999998
1,3OAR120,fwd,7506.576216,25.5600137,0.10858436199999998
2,3OAR121,fwd,6305.4922716,25.5600137,0.10858436199999998
3,3OAR140,fwd,7147.09782,25.5600137,0.10858436199999998
4,3OAR141,fwd,6305.4922716,25.5600137,0.10858436199999998
5,3OAR160,fwd,5349.705696,25.5600137,0.10858436199999998
6,3OAR161,fwd,6305.4922716,25.5600137,0.10858436199999998
7,3OAR181,fwd,2144.5218612000003,25.5600137,0.10858436199999998
8,3OAR40,fwd,13812.2008092,25.5600137,0.10858436199999998
9,3OAR60,fwd,13812.2008092,25.5600137,0.10858436199999998
10,3OAR80,fwd,13812.2008092,25.5600137,0.10858436199999998
11,3OAS121,fwd,6337.518462,42.6128728,0.10858436199999998
12,3OAS141,fwd,6337.518462,42.6128728,0.10858436199999998
13,3OAS161,fwd,6337.518462,42.6128728,0.10858436199999998
14,3OAS181,fwd,3782.7818208000003,43.0452834,0.10858436199999998
15,ACGK,fwd,23335.6615668,27.1592235,0.10858436199999998
16,ACGS,fwd,84190.483584,49.1946058,0.10858436199999998
17,ACODA,fwd,39524.805252,42.346845099999996,0.10858436199999998
18,ADSK,fwd,84866.665608,22.3210375,0.10858436199999998
19,ADSL2r,fwd,28291.999428000003,51.5421581,0.10858436199999998
20,ADSS,fwd,12600.0,47.3443824,0.10858436199999998
21,AGPR,bwd,44652.684744,35.9516921,0.10858436199999998
22,AICART,fwd,29646.6807096,57.3285567,0.10858436199999998
23,AIRC2,fwd,97297.736256,39.460639300000004,0.10858436199999998
24,AIRC3,bwd,37728.777023999995,17.780107800000003,0.10858436199999998
25,ANPRT,fwd,7896.8167992,56.869270799999995,0.10858436199999998
26,ARGSL,fwd,15385.2119568,50.3176366,0.10858436199999998
27,ARGSS,fwd,5044.4936172,49.897831700000005,0.10858436199999998
28,ASAD,bwd,18635.2662456,40.0174244,0.10858436199999998
29,ASNS2,fwd,29240.519673599996,36.650101,0.10858436199999998
30,ASPTA,bwd,77680.08964800001,43.5728376,0.10858436199999998
31,ATPPRT,fwd,8096.246676,33.3663654,0.10858436199999998
32,BPNT,fwd,153461.63552399998,27.1755416,0.10858436199999998
33,CHORS,fwd,109634.53536,39.136993499999996,0.10858436199999998
34,CS,fwd,104400.0,48.0144729,0.10858436199999998
35,CTPS2,fwd,15331.6143864,60.373441099999994,0.10858436199999998
36,DAPDC,fwd,113082.330204,46.176706599999996,0.10858436199999998
37,DAPE,fwd,161582.12341200002,30.208231199999997,0.10858436199999998
38,DHAD1,fwd,45470.121876000005,65.5308741,0.10858436199999998
39,DHAD2,fwd,15109.963545600001,65.5308741,0.10858436199999998
40,DHDPRy,fwd,19931.1901524,28.7562878,0.10858436199999998
