,minimum,maximum
NDPK5,0.0,0.027354571674684833
SHK3Dr,0.3847520692394481,0.3847520692403846
NDPK6,0.026492938610432757,0.026492938610497226
NDPK8,0.0,0.026492938610497247
DHORTS,-0.33492821324084343,-0.33492821324002864
OMPDC,0.3349282132400284,0.33492821324084326
G5SD,0.2238170352567966,0.2238170352573412
CS,1.084336355175586,1.0843363562244805
ICDHyr,1.0843363551753409,1.084336355290674
ACALD,-5.297826266290805e-10,0.0
PPA,3.1693344712896026,3.1693344720179812
PPCK,0.0,3.3593928046856186e-10
ME1,0.0,1.10927762541317e-08
ALATA_L,-1000.0,-1.018894766905249
XYLK,0.0,0.0
RBK,-3.342362575438067e-14,-2.0650265593470856e-14
GLYK,0.0,1.4567351011783688e-09
ASPTA,-2.9625212734939987,-2.962521273486758
FBP,0.0,1.1689586543073e-09
EX_pi_e,-0.9755721400877105,-0.9755721400840504
PYK,3.3857826762376777,3.385782682201151
EX_co2_e,24.142619827396672,24.14261983110181
GTHOr,0.0,0.05384751028518205
ILETA,-0.2941590981261856,-0.2941590981254428
DHORD5,0.3349282125667247,0.3349282132408434
VALTA,-1.738184386539959e-10,998.9811052329204
IPPMIb,-0.4561602891204824,-0.45616028911963136
ORPT,-0.3349282132408435,-0.334928213240209
ACHBS,0.2941590981254492,0.2941590981263286
DHAD2,0.29415909812544877,0.2941590981263338
ACLS,0.8851928053965273,0.8851928053991854
TRPS2,0.05755324120740139,0.057553241207573255
PSCVT,0.38475206923944794,0.38475206924056604
PFL,0.0,7.336067085704471e-10
ANS,0.05755324120740007,0.05755324120754109
FRD2,0.3349282103262241,0.33492821324102967
ANPRT,0.05755324120740004,0.05755324120754109
CHORM,0.3271988280320469,0.3271988280330145
PTAr,11.65558008611581,11.655580090596175
CHORS,0.3847520692394443,0.38475206924056604
IGPS,0.05755324120740237,0.05755324120754109
ACKr,-11.655580086072472,-11.655580082545601
LEUTAi,0.4561602891193674,0.45616028912071754
EX_glcn_e,7.752588983621563e-12,0.0
EX_h_e,21.542528911640943,21.542528916059805
EX_gln__L_e,0.0,0.0
EX_glyc_e,0.0,3.158941117381631e-10
EX_ac_e,12.243379881472366,12.243379889466365
EX_akg_e,0.0,6.849362022243053e-11
EX_pyr_e,0.0,5.297826266290798e-10
EX_succ_e,0.0,2.3761626862309633e-10
EX_rib__D_e,0.0,0.0
EX_fum_e,0.0,0.0
EX_glu__L_e,0.0,6.239537951499748e-11
ENO,23.29090996965255,23.2909099776472
FBA,11.611742409014179,11.611742414959044
HCO3E,3.530065101695107,3.530065101764329
IMPC,-0.5480806408933674,-0.5480806408920073
IMPD,0.24536393683017643,0.24536393683077415
PPS,0.0,1.4535200282997605e-09
PGI,7.429957527506404,7.429957541222667
PGK,-25.084317188656925,-25.084317180677886
PGL,7.591274584734301,7.591274596406653
RPE,4.277453481201117,4.277453488982665
DHQTi,0.38475206923944827,0.3847520692403825
IPMD,0.45616028911935974,0.4561602891204789
AIRC3,-0.45215890971238015,-0.4521589097112845
TALA,2.3311027752202746,2.3311027791152945
ADSL2r,0.45215890971127987,0.45215890971237777
TKT1,2.331102775220275,2.331102779115295
RNDR1,0.0,0.026492938610433683
ALCD2x,-3.237543042143093e-10,0.0
RNDR3,0.027354571674618283,0.027354571674619226
RNDR4,0.02649293861043275,0.026492938610433683
TMDS,0.02649293861043347,0.02649293861043368
EX_glc__D_e,-15.021232125974537,-15.021232124788433
DHAD1,0.8851928053965407,0.8851928053965185
IPPMIa,-0.4561602891204997,-0.45616028911936757
MDH,-3.464668260888506e-10,-1.2996523050498772e-12
FUM,1.0543634717283288,1.0543634719783792
EX_fru_e,0.0,0.0
EX_xyl__D_e,0.0,-7.530794570733882e-12
KARA1,-0.8851928053987046,-0.8851928053965238
KARA2,0.2941590981254487,0.2941590981254562
EX_for_e,0.000677359012855592,0.0006773590110666198
ACCOAC,2.443490120551571,2.4434901205514103
KAS14,0.3603266446254268,0.36032664498513095
ARGSS,0.29948785819222107,0.29948785819221124
AGPR,-0.299487858192948,-0.29948785819221296
ICL,0.0,-2.5764563360010397e-12
EX_acald_e,0.0,5.297826266290804e-10
GLYCL,0.055235134387469145,0.05523513438760353
XYLI1,0.0,0.0
PPC,4.046857628133173,4.046857629711456
G3PT,0.0,1.4569022232298793e-09
SADT2,0.24891374355523263,0.24891374355583826
AACPS1,7.454286680682304e-15,7.284552572963167e-10
GHMT2r,1.1276868257397725,1.1276868257425334
DHORD2,0.0,6.685250478971305e-10
SDPDS,0.37558392893837617,0.375583928939285
EX_lac__D_e,0.0,3.2376021190693166e-10
UMPK,0.382762516981959,0.38276251700746794
CTPS2,0.16253072576778907,0.16253072579329803
NDPK7,0.027354571674618258,0.027354571674684813
TRPS3,0.05755324120740317,0.057553241207541364
ADK1,2.2863073922358588,2.28630739369276
NDPK2,0.40410388211345705,0.404103882138966
NDPK4,0.026492938610432767,0.026492938610497226
ACODA,0.2994878581922218,0.29948785819294943
ADSS,0.30271670406184376,0.30271670406258017
ASNS2,0.0,2.432011431796437e-10
ASPCT,0.33492821324002897,0.3349282132655337
MCOATA,2.4434901205513744,2.4434901206205932
DAPE,0.3755839289383827,0.37558392893929826
DHDPRy,0.37558392893838255,0.37558392893928005
HSK,0.5510158632888412,0.5510158632901921
SDPTA,-0.37558392893928805,-0.37558392893836295
THRS,0.5510158632888353,0.5510158632901715
HSST,0.15560627391588863,0.1556062739162672
PPNDH,0.1875798468112044,0.18757984681166356
DTMPK,0.026492938610432903,0.02649293861049825
NDPK1,0.7696398127726262,0.7969943844491763
TRDR,0.30276125384027736,0.3566087641261939
DDPA,0.3847520692394326,0.3847520692403675
MALS,-1.9202677224672307e-13,1.046362343526975e-09
NADTRHD,0.0,1.1067306104936816e-08
G3PD2,-0.14076512563621715,-0.14076512532031768
GMPS2,0.24536393683015167,0.24536393683076374
AACPS3,0.0,7.266989530286777e-10
P5CR,0.22381703525680555,0.22381703525734256
G5SADs,0.22381703525679675,0.22381703525734
AKGDH,0.0,1.1499035152991731e-10
ATPPRT,0.09592173118073742,0.09592173118097026
HISTD,0.09592173118073799,0.09592173118097888
DHDPS,0.37558392893838227,0.3755839289392853
IGPDH,0.09592173118073818,0.09592173118097398
PRPPS,0.942868558465426,0.942868558467723
PRATPP,0.09592173118073737,0.09592173118097075
GLUN,0.0,1.4569022232295197e-09
PRMICI,0.09592173118073817,0.09592173118097398
GLUPRT,0.4521589097112736,0.4521589097123765
SERAT,0.24891374355524135,0.24891374355585644
CYSS,0.24891374355524132,0.2489137435558564
BPNT,0.24891374355522938,0.248913743555847
PAPSR,0.24891374355523718,0.24891374355584706
ASPK,1.0822060661430775,1.0822060661457464
ASAD,-1.0822060661457347,-1.0822060661430883
DAPDC,0.3474487237825657,0.34744872378343483
OCBT,0.29948785819221396,0.2994878581929417
GARFT,0.4521589097112826,0.4521589097123942
PHETA1,-0.18757984681165918,-0.18757984681120268
PPND,0.13961898122083474,0.13961898122117755
PRAMPC,0.09592173118073738,0.09592173118097075
GLYCK2,0.0,0.0
ACOTA,-0.29948785819294943,-0.2994878581922218
SULR,0.24891374355524135,0.24891374355585644
PRAGSr,0.4521589097112854,0.4521589097123943
PRFGS,0.45215890971128375,0.4521589097123937
PSERT,1.7934072110127617,1.7934072110172017
AIRC2,0.4521589097112849,0.45215890971239325
GAPD,25.084317180665323,25.08431718866001
GND,7.591274584734268,7.591274596419389
G6PDH2r,7.59127458473427,7.59127459641939
ME2,1.0543634608715642,1.0543634740637302
ARGSL,0.2994878581922083,0.29948785819293405
CBPS,0.6344160714322418,0.6344160714337855
GLU5K,0.22381703525679655,0.2238170352573411
IPPS,0.4561602891193728,0.45616028912049766
ACOATA,0.3603266446254249,0.3603266449889151
ACtex,-12.243379889466366,-12.243379881472366
ACALDtex,-5.297826266290804e-10,0.0
PSP_L,1.7934072110128139,1.7934072110172015
ADSK,0.24891374355523257,0.24891374355583826
SUCCt2_2pp,0.0,2.9138044464599873e-09
HSDy,-0.7066221372064659,-0.7066221372047398
CYSTL,0.1556062739158866,0.1556062739162753
SHSL1,0.1556062739158866,0.1556062739162753
SULabcpp,0.0,3.739552079546258e-09
GLUtex,-6.239537951499748e-11,0.0
AKGt2rpp,-6.84936202224305e-11,0.0
XYLt2pp,0.0,0.0
GLYCtex,-3.158941117381631e-10,0.0
Htex,-21.5425289160323,-21.54252890804226
H2Otex,-50.83574587332579,-50.835745869634856
O2tpp,21.987144480345084,21.987144484036268
PYRt2rpp,-5.305837916561496e-10,-6.00608410077382e-14
THD2pp,0.0,1.227618745028291e-08
TKT2,1.9463507059808418,1.9463507098758612
ATPS4rpp,74.0215397144504,74.02153973043663
CO2tpp,-24.14261983110195,-24.14261982741049
GK1,0.2453639368301577,0.24536393683075475
GLCNtex,0.0,0.0
GLNtex,-6.173406528088362e-11,0.0
O2tex,21.987144480345084,21.987144484036268
D_LACtex,-3.2375430421430905e-10,0.0
GLCtex_copy1,15.02123212392627,15.021232125974537
FUMt2_2pp,0.0,0.0
PItex,0.9755721400840502,0.9755721401350674
CYTBDpp,0.0,2.913788737928845e-09
CYTBD2pp,0.0,2.9137887379251414e-09
ACALDtpp,1.5031841017798673e-12,0.0
ACt2rpp,-12.243379885003755,-12.24337988147239
METS,0.15560627391588835,0.1556062739162709
EX_glyc__R_e,0.0,0.0
FRUtex,5.299381006218628e-12,0.0
FUMtex,8.900015310823637e-13,0.0
PRASCSi,0.45215890971908823,0.45215890971238015
MTHFC,1.000239550618918,1.0002395506057356
MTHFD,1.0002395506189175,1.0002395506057407
XYLtex,0.0,0.0
FORtppi,0.0006773590128556232,0.0006773648404330665
PYRtex,1.4988672904981152e-12,0.0
SO4tex,0.25330594594352973,0.25330594594414135
SUCCtex,6.722667653143533e-13,0.0
GRXR,0.0,0.05384751028505333
RNDR1b,0.0,0.026492938610433888
RNDR2b,0.0,0.027354571674619445
MALt2_2pp,8.900015310823613e-13,0.0
NH4tpp,10.92421429802929,10.924214298029197
NH4tex,10.92421429802929,10.924214298029199
RIBabcpp,0.0,0.0
GLYCAt2rpp,0.0,0.0
GLYCAtex,0.0,0.0
GLYCtpp,0.0,2.8000422935212126e-13
H2Otpp,-50.83574587142831,-50.83574587143207
GLNabcpp,0.0,0.0
CO2tex,-24.14261983110195,-24.142619827410748
GLUt2rpp,-6.239504313697907e-11,0.0
ACGK,0.29948785819220747,0.29948785819293616
GNK,0.0,0.0
GLUDy,-8.70767134040515,-8.707671338527389
GLCNt2rpp,0.0,1.4299424003811825e-09
GLCptspp,15.02123212392627,15.0212321259761
EX_h2o_e,50.83574586963298,50.835745873325784
HSTPT,0.09592173118073888,0.09592173118097182
THDPS,0.3755839289383668,0.37558392893928005
ATPM,6.86,6.8600000014568945
THRD_L,0.294159098125457,0.29415909812617297
ETOHtex,-3.2375430421430926e-10,0.0
RNDR2,0.0,0.02735457167468484
