!!SBtab TableID='ParameterEq' TableType='Quantity' TableName='ParameterEq' SBtabVersion='1.0' StandardConcentration='M'
!QuantityType	!Compound	!Reaction	!Unit	!Mean	!Std	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
standard Gibbs energy of reaction		R_NDPK5	kJ/mol	1.77	2.41		R01857
standard Gibbs energy of reaction		R_SHK3Dr	kJ/mol	-6.53	1.31		R02413
standard Gibbs energy of reaction		R_NDPK6	kJ/mol	-1.55	1.28		R02331
standard Gibbs energy of reaction		R_NDPK8	kJ/mol	2.39	1.47		R01137
standard Gibbs energy of reaction		R_DHORTS	kJ/mol	-7.29	1.69		R01993
standard Gibbs energy of reaction		R_OMPDC	kJ/mol	-22.7	8.61		R00965
standard Gibbs energy of reaction		R_G5SD	kJ/mol	-7.62	1.62		R03313
standard Gibbs energy of reaction		R_CS	kJ/mol	-38.76	0.44		R00351
standard Gibbs energy of reaction		R_ICDHyr	kJ/mol	5.41	3.19		R00267
standard Gibbs energy of reaction		R_ACALD	kJ/mol	-20.68	1.2		R00228
standard Gibbs energy of reaction		R_PPA	kJ/mol	-16.46	0.19		R00004
standard Gibbs energy of reaction		R_PPCK	kJ/mol	10.63	3.12		R00341
standard Gibbs energy of reaction		R_ME1	kJ/mol	12.1	3.12		R00214
standard Gibbs energy of reaction		R_ALATA_L	kJ/mol	0.16	0.53		R00258
standard Gibbs energy of reaction		R_XYLK	kJ/mol	-24.79	2.03		R01639
standard Gibbs energy of reaction		R_RBK	kJ/mol	-29.32	2.04		
standard Gibbs energy of reaction		R_GLYK	kJ/mol	-16.65	2.08		R00847
standard Gibbs energy of reaction		R_ASPTA	kJ/mol	2.84	0.54		R00355
standard Gibbs energy of reaction		R_FBP	kJ/mol	-11.83	0.69		
standard Gibbs energy of reaction		R_PYK	kJ/mol	-25.03	0.42		R00200
standard Gibbs energy of reaction		R_GTHOr	kJ/mol	-12.6	0.78		R00115
standard Gibbs energy of reaction		R_ILETA	kJ/mol	-5.93	3.52		R02199
standard Gibbs energy of reaction		R_DHORD5	kJ/mol	-17.25	5.02		
standard Gibbs energy of reaction		R_VALTA	kJ/mol	1.72	3.47		R01214
standard Gibbs energy of reaction		R_IPPMIb	kJ/mol	-0.39	1.91		R03968
standard Gibbs energy of reaction		R_ORPT	kJ/mol	-3.72	1.31		R01870
standard Gibbs energy of reaction		R_ACHBS	kJ/mol	-18.3	4.91		R08648
standard Gibbs energy of reaction		R_DHAD2	kJ/mol	-36.93	1.4		R05070
standard Gibbs energy of reaction		R_ACLS	kJ/mol	-27.02	3.73		R00226
standard Gibbs energy of reaction		R_TRPS2	kJ/mol	-50.67	1.12		R00674
standard Gibbs energy of reaction		R_PSCVT	kJ/mol	-16.48	2.3		R03460
standard Gibbs energy of reaction		R_PFL	kJ/mol	-19.81	1.49		R00212
standard Gibbs energy of reaction		R_ANS	kJ/mol	-109.08	7.58		R00986
standard Gibbs energy of reaction		R_FRD2	kJ/mol	-34.29	5.26		
standard Gibbs energy of reaction		R_ANPRT	kJ/mol	-62.81	3.62		R01073
standard Gibbs energy of reaction		R_CHORM	kJ/mol	-48.67	4.64		R01715
standard Gibbs energy of reaction		R_PTAr	kJ/mol	8.67	0.61		R00230
standard Gibbs energy of reaction		R_CHORS	kJ/mol	-45.56	3.83		R01714
standard Gibbs energy of reaction		R_IGPS	kJ/mol	-72.43	6.01		R03508
standard Gibbs energy of reaction		R_ACKr	kJ/mol	13.99	0.55		R00315
standard Gibbs energy of reaction		R_LEUTAi	kJ/mol	-0.32	1.58		R01090
standard Gibbs energy of reaction		R_ENO	kJ/mol	-3.81	0.3		R00658
standard Gibbs energy of reaction		R_FBA	kJ/mol	23.16	0.53		R01068
standard Gibbs energy of reaction		R_HCO3E	kJ/mol	-8.05	3.1		R10092
standard Gibbs energy of reaction		R_IMPC	kJ/mol	19.59	5.44		R01127
standard Gibbs energy of reaction		R_IMPD	kJ/mol	16.48	3.98		R01130
standard Gibbs energy of reaction		R_PPS	kJ/mol	-4.95	0.5		R00199
standard Gibbs energy of reaction		R_PGI	kJ/mol	2.64	0.38		
standard Gibbs energy of reaction		R_PGK	kJ/mol	19.55	0.44		R01512
standard Gibbs energy of reaction		R_PGL	kJ/mol	-25.38	1.66		R02035
standard Gibbs energy of reaction		R_RPE	kJ/mol	-3.39	1.15		R01529
standard Gibbs energy of reaction		R_DHQTi	kJ/mol	-5.29	2.07		R03084
standard Gibbs energy of reaction		R_IPMD	kJ/mol	15.63	0.99		R04426
standard Gibbs energy of reaction		R_AIRC3	kJ/mol	-30.73	6.03		R07405
standard Gibbs energy of reaction		R_TALA	kJ/mol	-0.94	1.41		R01827
standard Gibbs energy of reaction		R_ADSL2r	kJ/mol	23.88	2.93		R04559
standard Gibbs energy of reaction		R_TKT1	kJ/mol	-1.5	2.37		
standard Gibbs energy of reaction		R_RNDR1	kJ/mol	-42.71	3.74		R02017
standard Gibbs energy of reaction		R_ALCD2x	kJ/mol	18.06	0.32		R00754
standard Gibbs energy of reaction		R_RNDR3	kJ/mol	-39.65	2.94		R02024
standard Gibbs energy of reaction		R_RNDR4	kJ/mol	-41.7	2.41		R02018
standard Gibbs energy of reaction		R_TMDS	kJ/mol	-45.28	2.94		R02101
standard Gibbs energy of reaction		R_DHAD1	kJ/mol	-36.93	1.4		R04441
standard Gibbs energy of reaction		R_IPPMIa	kJ/mol	-3.7	1.9		R04001
standard Gibbs energy of reaction		R_MDH	kJ/mol	26.5	0.3		R00342
standard Gibbs energy of reaction		R_FUM	kJ/mol	-3.42	0.28		R01082
standard Gibbs energy of reaction		R_KARA1	kJ/mol	15.62	1.01		R04439
standard Gibbs energy of reaction		R_KARA2	kJ/mol	-15.62	1.01		
standard Gibbs energy of reaction		R_ARGSS	kJ/mol	16.88	4.51		R01954
standard Gibbs energy of reaction		R_AGPR	kJ/mol	4.48	1.62		R03443
standard Gibbs energy of reaction		R_ICL	kJ/mol	9.54	1.35		R00479
standard Gibbs energy of reaction		R_GLYCL	kJ/mol	18.59	4.07		R01221
standard Gibbs energy of reaction		R_XYLI1	kJ/mol	3.67	0.58		R01432
standard Gibbs energy of reaction		R_PPC	kJ/mol	-40.27	3.11		R00345
standard Gibbs energy of reaction		R_G3PT	kJ/mol	-12.99	2.08		R00841
