!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter'						
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	R_NDPK5		1.294	dimensionless	R01857	
equilibrium constant	R_SHK3Dr		0.02055	dimensionless	R02413	
equilibrium constant	R_NDPK6		3.498	dimensionless	R02331	
equilibrium constant	R_NDPK8		0.7165	dimensionless	R01137	
equilibrium constant	R_DHORTS		18130	dimensionless	R01993	
equilibrium constant	R_OMPDC		63.7	dimensionless	R00965	
equilibrium constant	R_G5SD		583.1	dimensionless	R03313	
equilibrium constant	R_CS		2.85e+09	dimensionless	R00351	
equilibrium constant	R_ICDHyr		88.43	dimensionless	R00267	
equilibrium constant	R_ACALD		4193	dimensionless	R00228	
equilibrium constant	R_PPA		6.288e+10	dimensionless	R00004	
equilibrium constant	R_PPCK		0.5118	dimensionless	R00341	
equilibrium constant	R_ME1		0.04139	dimensionless	R00214	
equilibrium constant	R_ALATA_L		0.9412	dimensionless	R00258	
equilibrium constant	R_XYLK		13800000	dimensionless	R01639	
equilibrium constant	R_RBK		6.931e+08	dimensionless		
equilibrium constant	R_GLYK		109200	dimensionless	R00847	
equilibrium constant	R_ASPTA		0.7148	dimensionless	R00355	
equilibrium constant	R_FBP		36770	dimensionless		
equilibrium constant	R_EX_pi_e		0.05617	dimensionless		
equilibrium constant	R_PYK		12.53	dimensionless	R00200	
equilibrium constant	R_EX_co2_e		0.0003494	dimensionless		
equilibrium constant	R_GTHOr		161	dimensionless	R00115	
equilibrium constant	R_ILETA		12.3	dimensionless	R02199	
equilibrium constant	R_DHORD5		4626000	dimensionless		
equilibrium constant	R_VALTA		0.6337	dimensionless	R01214	
equilibrium constant	R_IPPMIb		0.9609	dimensionless	R03968	
equilibrium constant	R_ORPT		4.504	dimensionless	R01870	
equilibrium constant	R_ACHBS		1.358	dimensionless	R08648	
equilibrium constant	R_DHAD2		13030000	dimensionless	R05070	
equilibrium constant	R_ACLS		1.924	dimensionless	R00226	
equilibrium constant	R_TRPS2		512700	dimensionless	R00674	
equilibrium constant	R_PSCVT		1443	dimensionless	R03460	
equilibrium constant	R_PFL		3167	dimensionless	R00212	
equilibrium constant	R_ANS		6.838e+25	dimensionless	R00986	
equilibrium constant	R_FRD2		331.1	dimensionless		
equilibrium constant	R_ANPRT		6.943e+11	dimensionless	R01073	
equilibrium constant	R_CHORM		2542000	dimensionless	R01715	
equilibrium constant	R_PTAr		0.03062	dimensionless	R00230	
equilibrium constant	R_CHORS		3.504e+11	dimensionless	R01714	
equilibrium constant	R_IGPS		1.676e+12	dimensionless	R03508	
equilibrium constant	R_ACKr		0.003637	dimensionless	R00315	
equilibrium constant	R_LEUTAi		1.143	dimensionless	R01090	
equilibrium constant	R_EX_glcn_e		1231	dimensionless		
equilibrium constant	R_EX_h_e		7.586e-06	dimensionless		
equilibrium constant	R_EX_gln__L_e		7.425	dimensionless		
equilibrium constant	R_EX_glyc_e		418.8	dimensionless		
equilibrium constant	R_EX_ac_e		9.968	dimensionless		
equilibrium constant	R_EX_akg_e		11.53	dimensionless		
equilibrium constant	R_EX_pyr_e		157.1	dimensionless		
equilibrium constant	R_EX_succ_e		8.679	dimensionless		
equilibrium constant	R_EX_rib__D_e		25.43	dimensionless		
equilibrium constant	R_EX_fum_e		140.1	dimensionless		
equilibrium constant	R_EX_glu__L_e		12.58	dimensionless		
equilibrium constant	R_ENO		1.514	dimensionless	R00658	
equilibrium constant	R_FBA		0.01966	dimensionless	R01068	
equilibrium constant	R_HCO3E		132800	dimensionless	R10092	
equilibrium constant	R_IMPC		0.0009179	dimensionless	R01127	
equilibrium constant	R_IMPD		1.003	dimensionless	R01130	
equilibrium constant	R_PPS		1.662e+08	dimensionless	R00199	
equilibrium constant	R_PGI		0.3831	dimensionless		
equilibrium constant	R_PGK		0.002654	dimensionless	R01512	
equilibrium constant	R_PGL		31700000	dimensionless	R02035	
equilibrium constant	R_RPE		0.7619	dimensionless	R01529	
equilibrium constant	R_DHQTi		46.74	dimensionless	R03084	
equilibrium constant	R_IPMD		64710	dimensionless	R04426	
equilibrium constant	R_AIRC3		222500	dimensionless	R07405	
equilibrium constant	R_TALA		0.08989	dimensionless	R01827	
equilibrium constant	R_ADSL2r		0.07928	dimensionless	R04559	
equilibrium constant	R_TKT1		0.02321	dimensionless		
equilibrium constant	R_RNDR1		28410000	dimensionless	R02017	
equilibrium constant	R_ALCD2x		0.6841	dimensionless	R00754	
equilibrium constant	R_RNDR3		2705000	dimensionless	R02024	
equilibrium constant	R_RNDR4		9960000	dimensionless	R02018	
equilibrium constant	R_TMDS		47570000	dimensionless	R02101	
equilibrium constant	R_EX_glc__D_e		98.5	dimensionless		
equilibrium constant	R_DHAD1		4897000	dimensionless	R04441	
equilibrium constant	R_IPPMIa		2.006	dimensionless	R04001	
equilibrium constant	R_MDH		0.006457	dimensionless	R00342	
equilibrium constant	R_FUM		0.1591	dimensionless	R01082	
equilibrium constant	R_EX_fru_e		126.5	dimensionless		
equilibrium constant	R_EX_xyl__D_e		158600	dimensionless		
equilibrium constant	R_KARA1		1.377	dimensionless	R04439	
equilibrium constant	R_KARA2		214.1	dimensionless		
equilibrium constant	R_EX_for_e		47.49	dimensionless		
equilibrium constant	R_ACCOAC		4.479	dimensionless	R00742	
equilibrium constant	R_KAS14		2.433	dimensionless	R04355	
equilibrium constant	R_ARGSS		1.483	dimensionless	R01954	
equilibrium constant	R_AGPR		20.15	dimensionless	R03443	
equilibrium constant	R_ICL		2.163	dimensionless	R00479	
equilibrium constant	R_EX_acald_e		279	dimensionless		
equilibrium constant	R_GLYCL		0.2791	dimensionless	R01221	
equilibrium constant	R_XYLI1		0.2284	dimensionless	R01432	
equilibrium constant	R_PPC		6.846e+09	dimensionless	R00345	
equilibrium constant	R_G3PT		32080	dimensionless	R00841	
equilibrium constant	R_SADT2		0.3798	dimensionless		
equilibrium constant	R_AACPS1		222000	dimensionless		
equilibrium constant	R_GHMT2r		24.08	dimensionless	R00945	
equilibrium constant	R_DHORD2		2.569e+19	dimensionless		
equilibrium constant	R_SDPDS		2.956	dimensionless	R02734	
equilibrium constant	R_EX_lac__D_e		497.2	dimensionless		
equilibrium constant	R_UMPK		1.224	dimensionless	R00158	
equilibrium constant	R_CTPS2		7.903e+11	dimensionless	R00573	
equilibrium constant	R_NDPK7		0.5146	dimensionless	R02326	
equilibrium constant	R_TRPS3		0.5784	dimensionless	R02340	
equilibrium constant	R_ADK1		1.683	dimensionless	R00127	
equilibrium constant	R_NDPK2		1.078	dimensionless	R00156	
equilibrium constant	R_NDPK4		1.189	dimensionless	R02093	
equilibrium constant	R_ACODA		1653	dimensionless	R00669	
equilibrium constant	R_ADSS		984800	dimensionless	R01135	
equilibrium constant	R_ASNS2		25110000	dimensionless	R00483	
equilibrium constant	R_ASPCT		6876000	dimensionless	R01397	
equilibrium constant	R_MCOATA		6.847	dimensionless	R01626	
equilibrium constant	R_DAPE		0.7199	dimensionless	R02735	
equilibrium constant	R_DHDPRy		0.07902	dimensionless		
