!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'					
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Compound:Identifiers:kegg.compound
equilibrium constant	R_NDPK5		0.9389	dimensionless	
equilibrium constant	R_SHK3Dr		0.02041	dimensionless	
equilibrium constant	R_NDPK6		2.78	dimensionless	
equilibrium constant	R_NDPK8		0.5734	dimensionless	
equilibrium constant	R_DHORTS		19.15	dimensionless	
equilibrium constant	R_OMPDC		2.051	dimensionless	
equilibrium constant	R_G5SD		1463	dimensionless	
equilibrium constant	R_CS		4509000	dimensionless	
equilibrium constant	R_ICDHyr		137.3	dimensionless	
equilibrium constant	R_ACALD		4217	dimensionless	
equilibrium constant	R_PPA		45450000	dimensionless	
equilibrium constant	R_PPCK		0.2889	dimensionless	
equilibrium constant	R_ME1		0.01208	dimensionless	
equilibrium constant	R_ALATA_L		0.9484	dimensionless	
equilibrium constant	R_XYLK		10510000	dimensionless	
equilibrium constant	R_RBK		1.551e+09	dimensionless	
equilibrium constant	R_GLYK		80110	dimensionless	
equilibrium constant	R_ASPTA		1.526	dimensionless	
equilibrium constant	R_FBP		34.37	dimensionless	
equilibrium constant	R_EX_pi_e		0.08626	dimensionless	
equilibrium constant	R_PYK		9.945	dimensionless	
equilibrium constant	R_EX_co2_e		0.0004158	dimensionless	
equilibrium constant	R_GTHOr		161.4	dimensionless	
equilibrium constant	R_ILETA		10.32	dimensionless	
equilibrium constant	R_DHORD5		1.765e+09	dimensionless	
equilibrium constant	R_VALTA		0.5467	dimensionless	
equilibrium constant	R_IPPMIb		5.236e-05	dimensionless	
equilibrium constant	R_ORPT		4.54	dimensionless	
equilibrium constant	R_ACHBS		0.8667	dimensionless	
equilibrium constant	R_DHAD2		5.157e+08	dimensionless	
equilibrium constant	R_ACLS		0.1676	dimensionless	
equilibrium constant	R_TRPS2		5.021e+08	dimensionless	
equilibrium constant	R_PSCVT		1212	dimensionless	
equilibrium constant	R_PFL		3020	dimensionless	
equilibrium constant	R_ANS		3.282e+25	dimensionless	
equilibrium constant	R_FRD2		1	dimensionless	
equilibrium constant	R_ANPRT		7.499e+11	dimensionless	
equilibrium constant	R_CHORM		839200	dimensionless	
equilibrium constant	R_PTAr		0.03156	dimensionless	
equilibrium constant	R_CHORS		2.275e+11	dimensionless	
equilibrium constant	R_IGPS		3.978e+14	dimensionless	
equilibrium constant	R_ACKr		0.003629	dimensionless	
equilibrium constant	R_LEUTAi		1.129	dimensionless	
equilibrium constant	R_EX_glcn_e		1259	dimensionless	
equilibrium constant	R_EX_h_e		5.889e-06	dimensionless	
equilibrium constant	R_EX_gln__L_e		7.817	dimensionless	
equilibrium constant	R_EX_glyc_e		348.5	dimensionless	
equilibrium constant	R_EX_ac_e		10.5	dimensionless	
equilibrium constant	R_EX_akg_e		9.792	dimensionless	
equilibrium constant	R_EX_pyr_e		207	dimensionless	
equilibrium constant	R_EX_succ_e		8.55	dimensionless	
equilibrium constant	R_EX_rib__D_e		139.7	dimensionless	
equilibrium constant	R_EX_fum_e		109.3	dimensionless	
equilibrium constant	R_EX_glu__L_e		9.615	dimensionless	
equilibrium constant	R_ENO		2368	dimensionless	
equilibrium constant	R_FBA		0.01867	dimensionless	
equilibrium constant	R_HCO3E		215	dimensionless	
equilibrium constant	R_IMPC		1.945e-06	dimensionless	
equilibrium constant	R_IMPD		0.004673	dimensionless	
equilibrium constant	R_PPS		204900	dimensionless	
equilibrium constant	R_PGI		0.3605	dimensionless	
equilibrium constant	R_PGK		0.004362	dimensionless	
equilibrium constant	R_PGL		40520	dimensionless	
equilibrium constant	R_RPE		0.837	dimensionless	
equilibrium constant	R_DHQTi		43190	dimensionless	
equilibrium constant	R_IPMD		454100	dimensionless	
equilibrium constant	R_AIRC3		144200	dimensionless	
equilibrium constant	R_TALA		0.1363	dimensionless	
equilibrium constant	R_ADSL2r		0.08226	dimensionless	
equilibrium constant	R_TKT1		0.01431	dimensionless	
equilibrium constant	R_RNDR1		7.247e+09	dimensionless	
equilibrium constant	R_ALCD2x		0.683	dimensionless	
equilibrium constant	R_RNDR3		1.088e+09	dimensionless	
equilibrium constant	R_RNDR4		5.068e+09	dimensionless	
equilibrium constant	R_TMDS		43820000	dimensionless	
equilibrium constant	R_EX_glc__D_e		91.48	dimensionless	
equilibrium constant	R_DHAD1		1.647e+08	dimensionless	
equilibrium constant	R_IPPMIa		36.23	dimensionless	
equilibrium constant	R_MDH		0.004205	dimensionless	
equilibrium constant	R_FUM		3.918e-05	dimensionless	
equilibrium constant	R_EX_fru_e		119.3	dimensionless	
equilibrium constant	R_EX_xyl__D_e		135900	dimensionless	
equilibrium constant	R_KARA1		2.038	dimensionless	
equilibrium constant	R_KARA2		172.5	dimensionless	
equilibrium constant	R_EX_for_e		95.35	dimensionless	
equilibrium constant	R_ACCOAC		13.55	dimensionless	
equilibrium constant	R_KAS14		2.57	dimensionless	
equilibrium constant	R_ARGSS		1.292	dimensionless	
equilibrium constant	R_AGPR		20.41	dimensionless	
equilibrium constant	R_ICL		1.289	dimensionless	
equilibrium constant	R_EX_acald_e		204.2	dimensionless	
equilibrium constant	R_GLYCL		0.6135	dimensionless	
equilibrium constant	R_XYLI1		0.2286	dimensionless	
equilibrium constant	R_PPC		9792000	dimensionless	
equilibrium constant	R_G3PT		35.32	dimensionless	
equilibrium constant	R_SADT2		0.0005779	dimensionless	
equilibrium constant	R_AACPS1		8278	dimensionless	
equilibrium constant	R_GHMT2r		11110	dimensionless	
equilibrium constant	R_DHORD2		3.852e+19	dimensionless	
equilibrium constant	R_SDPDS		0.003481	dimensionless	
equilibrium constant	R_EX_lac__D_e		645.8	dimensionless	
equilibrium constant	R_UMPK		1.19	dimensionless	
equilibrium constant	R_CTPS2		6.072e+08	dimensionless	
equilibrium constant	R_NDPK7		0.3716	dimensionless	
