!!SBtab TableID='ParameterData' TableType='Quantity'										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
catalytic rate constant geometric mean		R_NDPK5	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_SHK3Dr	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_NDPK6	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_NDPK8	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DHORTS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_OMPDC	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_G5SD	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_CS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ICDHyr	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACALD	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PPA	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PPCK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ME1	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ALATA_L	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_XYLK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_RBK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLYK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ASPTA	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_FBP	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_pi_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PYK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_co2_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GTHOr	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ILETA	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DHORD5	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_VALTA	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_IPPMIb	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ORPT	1/s	NaN	NaN	NaN	1e-07	10000		
