!!!SBtab DocumentName='PB_Bounds' SBtabVersion='1.0' Date='2021-3-9'
!!SBtab TableID='Gibbs_free_energy_constraints' TableType='Quantity' TableName='Gibbs_free_energy_constraints' SBtabVersion='1.0' StandardConcentration='M'
!QuantityType	!Reaction	!Unit	!min	!max	!Reaction:Identifiers:kegg.reaction
Gibbs energy of reaction	OMPDC	kJ/mol		0	R00965
Gibbs energy of reaction	G5SD	kJ/mol		0	R03313
Gibbs energy of reaction	CS	kJ/mol		0	R00351
Gibbs energy of reaction	PPA	kJ/mol		0	R00004
Gibbs energy of reaction	PPCK	kJ/mol		0	R00341
Gibbs energy of reaction	ME1	kJ/mol		0	R00214
Gibbs energy of reaction	XYLK	kJ/mol		0	R01639
Gibbs energy of reaction	RBK	kJ/mol		0	
Gibbs energy of reaction	GLYK	kJ/mol		0	R00847
Gibbs energy of reaction	FBP	kJ/mol		0	
Gibbs energy of reaction	PYK	kJ/mol		0	R00200
Gibbs energy of reaction	DHORD5	kJ/mol		0	
Gibbs energy of reaction	ACHBS	kJ/mol		0	R08648
Gibbs energy of reaction	DHAD2	kJ/mol		0	R05070
Gibbs energy of reaction	ACLS	kJ/mol		0	R00226
Gibbs energy of reaction	TRPS2	kJ/mol		0	R00674
Gibbs energy of reaction	PFL	kJ/mol		0	R00212
Gibbs energy of reaction	ANS	kJ/mol		0	R00986
Gibbs energy of reaction	FRD2	kJ/mol		0	
Gibbs energy of reaction	ANPRT	kJ/mol		0	R01073
Gibbs energy of reaction	CHORM	kJ/mol		0	R01715
Gibbs energy of reaction	CHORS	kJ/mol		0	R01714
Gibbs energy of reaction	IGPS	kJ/mol		0	R03508
Gibbs energy of reaction	LEUTAi	kJ/mol		0	R01090
Gibbs energy of reaction	EX_glcn_e	kJ/mol		0	
Gibbs energy of reaction	EX_gln__L_e	kJ/mol		0	
Gibbs energy of reaction	EX_glyc_e	kJ/mol		0	
Gibbs energy of reaction	EX_ac_e	kJ/mol		0	
Gibbs energy of reaction	EX_akg_e	kJ/mol		0	
Gibbs energy of reaction	EX_pyr_e	kJ/mol		0	
Gibbs energy of reaction	EX_succ_e	kJ/mol		0	
Gibbs energy of reaction	EX_rib__D_e	kJ/mol		0	
Gibbs energy of reaction	EX_fum_e	kJ/mol		0	
