!!SBtab TableID='ParameterKcat' TableType='Quantity' TableName='ParameterKcat' SBtabVersion='1.0'
!QuantityType	!Compound	!Reaction	!Unit	!Mean	!Std	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
product catalytic rate constant		R_NDPK5	1/s	5.00431842758334	NaN		R01857
substrate catalytic rate constant		R_NDPK5	1/s	3.7609137738525	NaN		R01857
product catalytic rate constant		R_SHK3Dr	1/s	14.0212825297704	NaN		R02413
substrate catalytic rate constant		R_SHK3Dr	1/s	3.46166351361112	NaN		R02413
product catalytic rate constant		R_NDPK6	1/s	0.0962113235024591	NaN		R02331
substrate catalytic rate constant		R_NDPK6	1/s	4.99780049239237	NaN		R02331
product catalytic rate constant		R_NDPK8	1/s	3.94856841844601	NaN		R01137
substrate catalytic rate constant		R_NDPK8	1/s	2.49346855422433	NaN		R01137
product catalytic rate constant		R_DHORTS	1/s	5.28456661531429	NaN		R01993
substrate catalytic rate constant		R_DHORTS	1/s	14.3002400767693	NaN		R01993
product catalytic rate constant		R_OMPDC	1/s	58.9910628293098	NaN		R00965
product catalytic rate constant		R_G5SD	1/s	9.68192474118907	NaN		R03313
product catalytic rate constant		R_CS	1/s	31.4913433767798	NaN		R00351
product catalytic rate constant		R_ICDHyr	1/s	10.0848967320766	NaN		R00267
substrate catalytic rate constant		R_ICDHyr	1/s	3.74750967137207	NaN		R00267
product catalytic rate constant		R_ACALD	1/s	16.370943793886	NaN		R00228
substrate catalytic rate constant		R_ACALD	1/s	8.19452345164255	NaN		R00228
product catalytic rate constant		R_PPA	1/s	28.4366570900938	NaN		R00004
product catalytic rate constant		R_PPCK	1/s	35.587293063962	NaN		R00341
product catalytic rate constant		R_ME1	1/s	82.029514720553	NaN		R00214
product catalytic rate constant		R_ALATA_L	1/s	32.7122406320375	NaN		R00258
substrate catalytic rate constant		R_ALATA_L	1/s	12.1988681743575	NaN		R00258
product catalytic rate constant		R_XYLK	1/s	2.52822542686949	NaN		R01639
product catalytic rate constant		R_RBK	1/s	2.89024628988296	NaN		
product catalytic rate constant		R_GLYK	1/s	1.42274572189134	NaN		R00847
product catalytic rate constant		R_ASPTA	1/s	3.50242927528108	NaN		R00355
substrate catalytic rate constant		R_ASPTA	1/s	21.5778026792875	NaN		R00355
product catalytic rate constant		R_FBP	1/s	104.90782631666	NaN		
product catalytic rate constant		R_PYK	1/s	60.9955643127855	NaN		R00200
product catalytic rate constant		R_GTHOr	1/s	3.41978411729473	NaN		R00115
substrate catalytic rate constant		R_GTHOr	1/s	2.28720726634714	NaN		R00115
product catalytic rate constant		R_ILETA	1/s	6.93049972028169	NaN		R02199
substrate catalytic rate constant		R_ILETA	1/s	8.45874420054375	NaN		R02199
product catalytic rate constant		R_DHORD5	1/s	0.00266836643542162	NaN		
product catalytic rate constant		R_VALTA	1/s	3.40552600451716	NaN		R01214
substrate catalytic rate constant		R_VALTA	1/s	19.0532877363441	NaN		R01214
product catalytic rate constant		R_IPPMIb	1/s	3.65918729423289	NaN		R03968
substrate catalytic rate constant		R_IPPMIb	1/s	8.52315462273109	NaN		R03968
product catalytic rate constant		R_ORPT	1/s	5.58594459777186	NaN		R01870
substrate catalytic rate constant		R_ORPT	1/s	80.8575378141401	NaN		R01870
product catalytic rate constant		R_ACHBS	1/s	7.39598742300197	NaN		R08648
product catalytic rate constant		R_DHAD2	1/s	12.7664883998379	NaN		R05070
product catalytic rate constant		R_ACLS	1/s	29.7963679724139	NaN		R00226
product catalytic rate constant		R_TRPS2	1/s	4.79727888903391	NaN		R00674
product catalytic rate constant		R_PSCVT	1/s	8.65994864208381	NaN		R03460
substrate catalytic rate constant		R_PSCVT	1/s	3.52097503874276	NaN		R03460
product catalytic rate constant		R_PFL	1/s	12.6110345608035	NaN		R00212
product catalytic rate constant		R_ANS	1/s	3.65552348894893	NaN		R00986
product catalytic rate constant		R_FRD2	1/s	7.85393704675326	NaN		
