!!SBtab TableID='Gibbs_free_energy_constraints' TableType='Quantity' TableName='Gibbs_free_energy_constraints' SBtabVersion='1.0' StandardConcentration='M'
!QuantityType	!Reaction	!Unit	!Min	!Max	!Reaction:Identifiers:kegg.reaction
Gibbs free energy of reaction	R_NDPK5	kJ/mol		-0.2479	R01857
Gibbs free energy of reaction	R_SHK3Dr	kJ/mol		-0.2479	R02413
Gibbs free energy of reaction	R_NDPK6	kJ/mol		-0.2479	R02331
Gibbs free energy of reaction	R_NDPK8	kJ/mol			R01137
Gibbs free energy of reaction	R_DHORTS	kJ/mol	0.2479		R01993
Gibbs free energy of reaction	R_OMPDC	kJ/mol		-0.2479	R00965
Gibbs free energy of reaction	R_G5SD	kJ/mol		-0.2479	R03313
Gibbs free energy of reaction	R_CS	kJ/mol		-0.2479	R00351
Gibbs free energy of reaction	R_ICDHyr	kJ/mol		-0.2479	R00267
Gibbs free energy of reaction	R_ACALD	kJ/mol			R00228
Gibbs free energy of reaction	R_PPA	kJ/mol		-0.2479	R00004
Gibbs free energy of reaction	R_PPCK	kJ/mol			R00341
Gibbs free energy of reaction	R_ME1	kJ/mol			R00214
Gibbs free energy of reaction	R_ALATA_L	kJ/mol	0.2479		R00258
Gibbs free energy of reaction	R_XYLK	kJ/mol			R01639
Gibbs free energy of reaction	R_RBK	kJ/mol			
Gibbs free energy of reaction	R_GLYK	kJ/mol			R00847
Gibbs free energy of reaction	R_ASPTA	kJ/mol	0.2479		R00355
Gibbs free energy of reaction	R_FBP	kJ/mol			
Gibbs free energy of reaction	R_PYK	kJ/mol		-0.2479	R00200
Gibbs free energy of reaction	R_GTHOr	kJ/mol			R00115
Gibbs free energy of reaction	R_ILETA	kJ/mol	0.2479		R02199
Gibbs free energy of reaction	R_DHORD5	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_VALTA	kJ/mol			R01214
Gibbs free energy of reaction	R_IPPMIb	kJ/mol	0.2479		R03968
Gibbs free energy of reaction	R_ORPT	kJ/mol	0.2479		R01870
Gibbs free energy of reaction	R_ACHBS	kJ/mol		-0.2479	R08648
Gibbs free energy of reaction	R_DHAD2	kJ/mol		-0.2479	R05070
Gibbs free energy of reaction	R_ACLS	kJ/mol		-0.2479	R00226
Gibbs free energy of reaction	R_TRPS2	kJ/mol		-0.2479	R00674
Gibbs free energy of reaction	R_PSCVT	kJ/mol		-0.2479	R03460
Gibbs free energy of reaction	R_PFL	kJ/mol			R00212
Gibbs free energy of reaction	R_ANS	kJ/mol		-0.2479	R00986
Gibbs free energy of reaction	R_FRD2	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_ANPRT	kJ/mol		-0.2479	R01073
Gibbs free energy of reaction	R_CHORM	kJ/mol		-0.2479	R01715
Gibbs free energy of reaction	R_PTAr	kJ/mol		-0.2479	R00230
Gibbs free energy of reaction	R_CHORS	kJ/mol		-0.2479	R01714
Gibbs free energy of reaction	R_IGPS	kJ/mol		-0.2479	R03508
Gibbs free energy of reaction	R_ACKr	kJ/mol	0.2479		R00315
Gibbs free energy of reaction	R_LEUTAi	kJ/mol		-0.2479	R01090
Gibbs free energy of reaction	R_ENO	kJ/mol		-0.2479	R00658
Gibbs free energy of reaction	R_FBA	kJ/mol		-0.2479	R01068
Gibbs free energy of reaction	R_HCO3E	kJ/mol		-0.2479	R10092
Gibbs free energy of reaction	R_IMPC	kJ/mol	0.2479		R01127
Gibbs free energy of reaction	R_IMPD	kJ/mol		-0.2479	R01130
Gibbs free energy of reaction	R_PPS	kJ/mol			R00199
Gibbs free energy of reaction	R_PGI	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_PGK	kJ/mol	0.2479		R01512
Gibbs free energy of reaction	R_PGL	kJ/mol		-0.2479	R02035
Gibbs free energy of reaction	R_RPE	kJ/mol		-0.2479	R01529
Gibbs free energy of reaction	R_DHQTi	kJ/mol		-0.2479	R03084
Gibbs free energy of reaction	R_IPMD	kJ/mol		-0.2479	R04426
Gibbs free energy of reaction	R_AIRC3	kJ/mol	0.2479		R07405
Gibbs free energy of reaction	R_TALA	kJ/mol		-0.2479	R01827
Gibbs free energy of reaction	R_ADSL2r	kJ/mol		-0.2479	R04559
Gibbs free energy of reaction	R_TKT1	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_RNDR1	kJ/mol			R02017
Gibbs free energy of reaction	R_ALCD2x	kJ/mol			R00754
Gibbs free energy of reaction	R_RNDR3	kJ/mol		-0.2479	R02024
Gibbs free energy of reaction	R_RNDR4	kJ/mol		-0.2479	R02018
Gibbs free energy of reaction	R_TMDS	kJ/mol		-0.2479	R02101
Gibbs free energy of reaction	R_DHAD1	kJ/mol		-0.2479	R04441
Gibbs free energy of reaction	R_IPPMIa	kJ/mol	0.2479		R04001
Gibbs free energy of reaction	R_MDH	kJ/mol	0.2479		R00342
Gibbs free energy of reaction	R_FUM	kJ/mol		-0.2479	R01082
Gibbs free energy of reaction	R_KARA1	kJ/mol	0.2479		R04439
Gibbs free energy of reaction	R_KARA2	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_ARGSS	kJ/mol		-0.2479	R01954
Gibbs free energy of reaction	R_AGPR	kJ/mol	0.2479		R03443
Gibbs free energy of reaction	R_ICL	kJ/mol			R00479
Gibbs free energy of reaction	R_GLYCL	kJ/mol		-0.2479	R01221
Gibbs free energy of reaction	R_XYLI1	kJ/mol			R01432
Gibbs free energy of reaction	R_PPC	kJ/mol		-0.2479	R00345
Gibbs free energy of reaction	R_G3PT	kJ/mol			R00841
Gibbs free energy of reaction	R_SADT2	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_GHMT2r	kJ/mol		-0.2479	R00945
Gibbs free energy of reaction	R_DHORD2	kJ/mol			
Gibbs free energy of reaction	R_SDPDS	kJ/mol		-0.2479	R02734
Gibbs free energy of reaction	R_UMPK	kJ/mol		-0.2479	R00158
Gibbs free energy of reaction	R_CTPS2	kJ/mol		-0.2479	R00573
Gibbs free energy of reaction	R_NDPK7	kJ/mol		-0.2479	R02326
Gibbs free energy of reaction	R_TRPS3	kJ/mol		-0.2479	R02340
Gibbs free energy of reaction	R_ADK1	kJ/mol		-0.2479	R00127
Gibbs free energy of reaction	R_NDPK2	kJ/mol		-0.2479	R00156
Gibbs free energy of reaction	R_NDPK4	kJ/mol		-0.2479	R02093
Gibbs free energy of reaction	R_ACODA	kJ/mol		-0.2479	R00669
Gibbs free energy of reaction	R_ADSS	kJ/mol		-0.2479	R01135
Gibbs free energy of reaction	R_ASNS2	kJ/mol			R00483
Gibbs free energy of reaction	R_ASPCT	kJ/mol		-0.2479	R01397
Gibbs free energy of reaction	R_DAPE	kJ/mol		-0.2479	R02735
Gibbs free energy of reaction	R_DHDPRy	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_HSK	kJ/mol		-0.2479	R01771
Gibbs free energy of reaction	R_SDPTA	kJ/mol	0.2479		R04475
Gibbs free energy of reaction	R_THRS	kJ/mol		-0.2479	R01466
Gibbs free energy of reaction	R_HSST	kJ/mol		-0.2479	R01777
Gibbs free energy of reaction	R_PPNDH	kJ/mol		-0.2479	R01373
Gibbs free energy of reaction	R_DTMPK	kJ/mol		-0.2479	R02094
Gibbs free energy of reaction	R_NDPK1	kJ/mol		-0.2479	R00330
Gibbs free energy of reaction	R_TRDR	kJ/mol		-0.2479	R02016
Gibbs free energy of reaction	R_DDPA	kJ/mol		-0.2479	R01826
Gibbs free energy of reaction	R_MALS	kJ/mol			R00472
Gibbs free energy of reaction	R_NADTRHD	kJ/mol			R00112
Gibbs free energy of reaction	R_G3PD2	kJ/mol	0.2479		R00844
Gibbs free energy of reaction	R_GMPS2	kJ/mol		-0.2479	R01231
Gibbs free energy of reaction	R_P5CR	kJ/mol		-0.2479	R01251
Gibbs free energy of reaction	R_G5SADs	kJ/mol		-0.2479	R03314
Gibbs free energy of reaction	R_AKGDH	kJ/mol			R08549
Gibbs free energy of reaction	R_ATPPRT	kJ/mol		-0.2479	R01071
Gibbs free energy of reaction	R_HISTD	kJ/mol		-0.2479	R01158
Gibbs free energy of reaction	R_DHDPS	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_IGPDH	kJ/mol		-0.2479	R03457
Gibbs free energy of reaction	R_PRPPS	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_PRATPP	kJ/mol		-0.2479	R04035
Gibbs free energy of reaction	R_GLUN	kJ/mol			R00256
Gibbs free energy of reaction	R_PRMICI	kJ/mol		-0.2479	R04640
Gibbs free energy of reaction	R_GLUPRT	kJ/mol		-0.2479	R01072
Gibbs free energy of reaction	R_SERAT	kJ/mol		-0.2479	R00586
Gibbs free energy of reaction	R_CYSS	kJ/mol		-0.2479	R00897
Gibbs free energy of reaction	R_BPNT	kJ/mol		-0.2479	R00188
Gibbs free energy of reaction	R_PAPSR	kJ/mol		-0.2479	R02021
Gibbs free energy of reaction	R_ASPK	kJ/mol		-0.2479	R00480
Gibbs free energy of reaction	R_ASAD	kJ/mol	0.2479		R02291
Gibbs free energy of reaction	R_DAPDC	kJ/mol		-0.2479	R00451
Gibbs free energy of reaction	R_OCBT	kJ/mol		-0.2479	R01398
Gibbs free energy of reaction	R_GARFT	kJ/mol		-0.2479	R04325
Gibbs free energy of reaction	R_PHETA1	kJ/mol	0.2479		R00694
Gibbs free energy of reaction	R_PPND	kJ/mol		-0.2479	R01728
Gibbs free energy of reaction	R_PRAMPC	kJ/mol		-0.2479	R04037
Gibbs free energy of reaction	R_GLYCK2	kJ/mol			R08572
Gibbs free energy of reaction	R_ACOTA	kJ/mol	0.2479		R02283
Gibbs free energy of reaction	R_SULR	kJ/mol		-0.2479	R00858
Gibbs free energy of reaction	R_PRAGSr	kJ/mol		-0.2479	R04144
Gibbs free energy of reaction	R_PRFGS	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_PSERT	kJ/mol		-0.2479	R04173
Gibbs free energy of reaction	R_AIRC2	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_GAPD	kJ/mol		-0.2479	R01061
