reaction,standard_dg_prime,temperature,ionic_strength,p_h,p_mg,weight
kegg:C00002 + kegg:C00031 = kegg:C00008 + kegg:C00092,-13.38,303.15,0.25,6.02,1.96,1
2 kegg:C00206 = kegg:C00360 + kegg:C00131,0.47,303.15,0.25,7,2.09,1
kegg:C00311 = kegg:C00158,-7.45,310.15,0.25,7.3,2.96,1
kegg:C00020 + kegg:C00001 = kegg:C00212 + kegg:C00009,-13.37,311.15,0.25,7,3,1
kegg:C00294 + kegg:C00009 = kegg:C00262 + kegg:C00620,10.63,311.15,0.25,7,3,1
kegg:C00354 + kegg:C00001 = kegg:C05345 + kegg:C00009,-13.3,310.15,0.25,6.99,3.05,1
kegg:C00020 + kegg:C00001 = kegg:C00212 + kegg:C00009,-12.99,298.15,0.25,8.86,4.5,1
kegg:C05662 + kegg:C00003 = kegg:C00322 + kegg:C00288 + kegg:C00004,1.98,298.15,0.25,7.5,14,1
kegg:C00445 + kegg:C00001 = kegg:C00234,-3.56,298.15,0.25,6.5,14,1
kegg:C00091 + kegg:C00164 = kegg:C00042 + kegg:C00332,11.41,298.15,0.25,8.1,14,1
kegg:C06019 = kegg:C00199 + kegg:C00067,25.51,303.15,0.25,7,14,1
kegg:C00025 + kegg:C00006 + kegg:C00001 = kegg:C00026 + kegg:C00005 + kegg:C00014,27.69,298.15,0.25,8.5,14,1
kegg:C00186 + kegg:C00003 = kegg:C00022 + kegg:C00004,14.95,298.15,0.25,9,14,1
2 kegg:C00051 + kegg:C00003 = kegg:C00127 + kegg:C00004,17.98,313.15,0.25,7,14,1
kegg:C00167 = kegg:C00617,-0.25,310.15,0.25,7.5,14,1
kegg:C00024 + kegg:C00009 = kegg:C00010 + kegg:C00227,10.2,301.15,0.25,8.1,14,1
kegg:C00473 + kegg:C00003 = kegg:C00376 + kegg:C00004,8.79,310.15,0.25,7,14,1
kegg:C00186 + COCO:COCOM00012 = kegg:C00022 + COCO:COCOM00013,3.3,303.15,0.25,9,14,1
kegg:C00013 + kegg:C00065 = kegg:C00009 + kegg:C01005,-15.91,310.15,0.25,6.7,14,1
2 kegg:C00051 + kegg:C00006 = kegg:C00127 + kegg:C00005,11.87,283.15,0.25,6.8,14,1
kegg:C00798 + kegg:C00009 = kegg:C00010 + kegg:C02405,4.95,303.15,0.25,6.85,14,1
kegg:C00002 + kegg:C05345 = kegg:C00008 + kegg:C00354,-12.62,303.15,0.25,6.8,14,1
kegg:C01101 = kegg:C00231,0,310.15,0.25,6,14,1
kegg:C00493 + kegg:C00006 = kegg:C02652 + kegg:C00005,8.37,303.15,0.25,7,14,1
kegg:C00794 + kegg:C00003 = kegg:C00095 + kegg:C00004,8.53,298.15,0.25,7,14,1
kegg:C02953 + kegg:C00006 = kegg:C00835 + kegg:C00005,7.8,298.15,0.25,7.65,14,1
kegg:C00002 + kegg:C00300 = kegg:C00008 + kegg:C02305,13.46,310.15,0.25,7,14,1
kegg:C00469 + kegg:C00003 = kegg:C00084 + kegg:C00004,22.2,293.15,0.25,7,14,1
kegg:C00354 = 2 kegg:C00111,18.27,273.15,0.25,7,14,1
2 kegg:C00008 = kegg:C00020 + kegg:C00002,3.03,303.15,0.25,7.5,14,1
kegg:C00116 + kegg:C00006 = kegg:C00577 + kegg:C00005,34.29,310.15,0.25,7,14,1
kegg:C00499 + kegg:C00001 = kegg:C00603 + kegg:C00086,3.93,303.15,0.25,7.5,14,1
kegg:C00379 + kegg:C00003 = kegg:C00310 + kegg:C00004,19.21,298.15,0.25,7,14,1
kegg:C00197 + kegg:C00003 = kegg:C03232 + kegg:C00004,22.82,298.15,0.25,8,14,1
kegg:C05512 + kegg:C00147 = kegg:C00559 + kegg:C00262,-0.88,313.15,0.25,6,14,1
kegg:C00092 = kegg:C05345,1.03,310.15,0.25,7.4,14,1
kegg:C00149 + kegg:C00024 + kegg:C00003 + kegg:C00001 = kegg:C00158 + kegg:C00010 + kegg:C00004,1.8,295.15,0.25,6.25,14,1
kegg:C01213 = kegg:C00091,-7.78,298.15,0.25,7.4,14,1
kegg:C05268 + kegg:C00003 = kegg:C05269 + kegg:C00004,20.55,298.15,0.25,7,14,1
kegg:C01144 + kegg:C00003 = kegg:C00332 + kegg:C00004,18.26,298.15,0.25,7,14,1
kegg:C00002 + kegg:C00197 = kegg:C00008 + kegg:C00236,20.02,298.15,0.25,6.9,14,1
kegg:C01103 + kegg:C00013 = kegg:C00295 + kegg:C00119,-5.62,303.15,0.25,8,14,1
kegg:C00507 = kegg:C00861,0.74,310.15,0.25,8.5,14,1
kegg:C00118 = kegg:C00111,-7.99,311.15,0.25,7,14,1
kegg:C00002 + kegg:C01563 = kegg:C00008 + kegg:C00169,7.46,283.15,0.25,9.4,14,1
kegg:C00002 + kegg:C00022 + kegg:C00009 = kegg:C00020 + kegg:C00074 + kegg:C00013,13.18,298.15,0.25,7.24,14,1
kegg:C00631 = kegg:C00197,-5.4,273.15,0.25,7,14,1
kegg:C00354 = 2 kegg:C00111,17.89,278.15,0.25,9,14,1
