polypeptide,n,mw_da,mw_g_mmol,abundance_fg_cell,abundance_g_gdw,abundance_mmol_gdw
ptsG,2,50625.74752,50.62574752,2.33E-01,7.78E-04,1.54E-05
crr,1,18221.73165,18.22173165,1.01E+00,3.38E-03,1.86E-04
ptsI,2,63503.89517,63.50389517,1.07E+00,3.57E-03,5.62E-05
