!!SBtab TableID='Homomeric enzymes to polypeptide mapping' TableType='Quantity' TableName='Homomeric enzymes to polypeptide mapping' SBtabVersion='1.0'
!Reaction	!Gene_number	!Gene_name	!pp_per_complex	!pp_mass	!Enzyme_complex_mass	!Unit	!pp_per_complex_source
DHORTS	b1062	pyrC	2	38826.943300000086	77653.88660000017	Da	Davidi et al.
OMPDC	b1281	pyrF	2	26349.952099999973	52699.904199999946	Da	Davidi et al.
G5SD	b0243	proA	4	44629.54760000013	178518.19040000052	Da	Davidi et al.
CS	b0720	gltA	6	48014.47290000005	288086.8374000003	Da	Davidi et al.
ICDHyr	b1136	icd	2	45756.18410000003	91512.36820000006	Da	Davidi et al.
PPCK	b3403	pck	1	59642.74990000014	59642.74990000014	Da	EcoCyc
ME1	b1479	maeA	4	63196.58750000014	252786.35000000056	Da	EcoCyc
RBK	b3752	rbsK	2	32290.10860000006	64580.21720000012	Da	EcoCyc
GLYK	b3926	glpK	4	56230.10950000007	224920.4380000003	Da	Davidi et al.
GTHOr	b3500	gor	2	48771.94720000004	97543.89440000008	Da	EcoCyc
ILETA	b3770	ilvE	6	34093.243900000016	204559.4634000001	Da	EcoCyc
DHORD5	b0945	pyrD	1	36774.0758	36774.0758	Da	Davidi et al.
VALTA	b3770	ilvE	6	34093.243900000016	204559.4634000001	Da	EcoCyc
ORPT	b3642	pyrE	2	23566.706100000003	47133.412200000006	Da	Davidi et al.
DHAD2	b3771	ilvD	2	65530.874100000285	131061.74820000057	Da	Davidi et al.
PSCVT	b0908	aroA	1	46095.263000000064	46095.263000000064	Da	Davidi et al.
ANPRT	b1263	trpD	1	56869.27080000013	56869.27080000013	Da	EcoCyc
CHORS	b2329	aroC	4	39136.993500000026	156547.9740000001	Da	Davidi et al.
IGPS	b1262	trpC	1	49491.724000000075	49491.724000000075	Da	Davidi et al.
ENO	b2779	eno	2	45654.40730000001	91308.81460000003	Da	Davidi et al.
IMPC	b4006	purH	1	57328.55670000012	57328.55670000012	Da	EcoCyc
IMPD	b2508	guaB	4	52021.85580000007	208087.42320000028	Da	Davidi et al.
PPS	b1702	ppsA	2	87434.09980000049	174868.19960000098	Da	Davidi et al.
PGI	b4025	pgi	2	61529.00370000017	123058.00740000034	Da	Davidi et al.
PGK	b2926	pgk	1	41117.70940000005	41117.70940000005	Da	Davidi et al.
PGL	b0767	pgl	1	36307.20400000005	36307.20400000005	Da	Davidi et al.
RPE	b3386	rpe	1	24553.964599999992	24553.964599999992	Da	EcoCyc
DHQTi	b1693	aroD	2	27466.338900000006	54932.67780000001	Da	Davidi et al.
AIRC3	b0523	purE	8	17780.10779999999	142240.86239999993	Da	Davidi et al.
ADSL2r	b1131	purB	4	51542.15810000002	206168.6324000001	Da	Davidi et al.
TMDS	b2827	thyA	2	30479.330400000006	60958.66080000001	Da	Davidi et al.
DHAD1	b3771	ilvD	2	65530.874100000285	131061.74820000057	Da	Davidi et al.
MDH	b3236	mdh	2	32336.896699999983	64673.793399999966	Da	Davidi et al.
KARA1	b3774	ilvC	4	54068.427400000044	216273.70960000018	Da	EcoCyc
KARA2	b3774	ilvC	4	54068.427400000044	216273.70960000018	Da	EcoCyc
ARGSS	b3172	argG	4	49897.83170000005	199591.3268000002	Da	EcoCyc
AGPR	b3958	argC	1	35951.692100000015	35951.692100000015	Da	EcoCyc
ICL	b4015	aceA	4	47520.998600000086	190083.99440000035	Da	EcoCyc
XYLI1	b3565	xylA	2	49741.41420000006	99482.82840000011	Da	EcoCyc
PPC	b3956	ppc	4	99061.43350000068	396245.73400000273	Da	Davidi et al.
GHMT2r	b2551	glyA	2	45316.05480000002	90632.10960000004	Da	Davidi et al.
DHORD2	b0945	pyrD	1	36774.0758	36774.0758	Da	Davidi et al.
SDPDS	b2472	dapE	2	41268.53570000004	82537.07140000007	Da	EcoCyc
CTPS2	b2780	pyrG	4	60373.441100000055	241493.76440000022	Da	Davidi et al.
ADK1	b0474	adk	1	23585.735300000008	23585.735300000008	Da	EcoCyc
ACODA	b3957	argE	2	42346.84509999999	84693.69019999998	Da	Davidi et al.
ADSS	b4177	purA	2	47344.38240000002	94688.76480000003	Da	Davidi et al.
DAPE	b3809	dapF	2	30208.231199999995	60416.46239999999	Da	Davidi et al.
DHDPRy	b0031	dapB	4	28756.2878	115025.1512	Da	Davidi et al.
HSK	b0003	thrB	2	33623.29050000001	67246.58100000002	Da	Davidi et al.
THRS	b0004	thrC	1	47113.25360000006	47113.25360000006	Da	EcoCyc
HSST	b4013	metA	2	35726.83990000002	71453.67980000004	Da	Davidi et al.
PPNDH	b2599	pheA	2	43110.836000000025	86221.67200000005	Da	Davidi et al.
DTMPK	b1098	tmk	1	23782.848600000012	23782.848600000012	Da	Davidi et al.
NADTRHD	b3962	sthA	8	51559.803200000024	412478.4256000002	Da	EcoCyc
G3PD2	b3608	gpsA	2	36361.1934	72722.3868	Da	Davidi et al.
GMPS2	b2507	guaA	2	58678.53230000009	117357.06460000019	Da	Davidi et al.
P5CR	b0386	proC	10	28144.588799999987	281445.88799999986	Da	Davidi et al.
ATPPRT	b2019	hisG	2	33366.36540000005	66732.7308000001	Da	EcoCyc
HISTD	b2020	hisD	2	46109.79900000007	92219.59800000014	Da	Davidi et al.
DHDPS	b2478	dapA	4	31269.62460000002	125078.49840000008	Da	Davidi et al.
IGPDH	b2022	hisB	2	40277.51420000005	80555.0284000001	Da	EcoCyc
PRPPS	b1207	prs	6	34217.885000000024	205307.31000000014	Da	EcoCyc
PRATPP	b2026	hisI	1	22755.554000000004	22755.554000000004	Da	EcoCyc
PRMICI	b2024	hisA	1	26032.322200000006	26032.322200000006	Da	Davidi et al.
GLUPRT	b2312	purF	4	56487.39320000007	225949.5728000003	Da	Davidi et al.
SERAT	b3607	cysE	6	29316.30439999998	175897.82639999987	Da	Davidi et al.
BPNT	b4214	cysQ	1	27175.541600000004	27175.541600000004	Da	Davidi et al.
ASAD	b3433	asd	2	40017.42440000003	80034.84880000007	Da	EcoCyc
DAPDC	b2838	lysA	4	46176.70660000005	184706.8264000002	Da	Davidi et al.
GARFT	b2500	purN	1	23237.995899999987	23237.995899999987	Da	Davidi et al.
PPND	b2600	tyrA	2	42042.020000000055	84084.04000000011	Da	Davidi et al.
PRAMPC	b2026	hisI	1	22755.554000000004	22755.554000000004	Da	EcoCyc
GLYCK2	b3124	garK	1	39103.88370000001	39103.88370000001	Da	EcoCyc
PRAGSr	b4005	purD	1	45939.83690000002	45939.83690000002	Da	Davidi et al.
PRFGS	b2557	purL	1	141401.06280000033	141401.06280000033	Da	Davidi et al.
PSERT	b0907	serC	2	39782.842400000045	79565.68480000009	Da	Davidi et al.
AIRC2	b0522	purK	2	39460.63929999998	78921.27859999996	Da	Davidi et al.
GAPD	b1779	gapA	4	35532.06830000002	142128.27320000008	Da	Davidi et al.
GND	b2029	gnd	2	51480.650600000066	102961.30120000013	Da	Davidi et al.
G6PDH2r	b1852	zwf	1	55703.77830000008	55703.77830000008	Da	Davidi et al.
ME2	b2463	maeB	6	82416.44190000027	494498.6514000016	Da	Davidi et al.
ARGSL	b3960	argH	1	50317.636600000085	50317.636600000085	Da	EcoCyc
GLU5K	b0242	proB	4	39056.053200000024	156224.2128000001	Da	Davidi et al.
IPPS	b0074	leuA	1	57297.24130000005	57297.24130000005	Da	EcoCyc
PSP_L	b4388	serB	1	35042.29220000001	35042.29220000001	Da	EcoCyc
ADSK	b2750	cysC	2	22321.037500000006	44642.07500000001	Da	Davidi et al.
SHSL1	b3939	metB	4	41549.89720000007	166199.5888000003	Da	Davidi et al.
AKGt2rpp	b2587	kgtP	1	47051.96620000007	47051.96620000007	Da	EcoCyc
XYLt2pp	b4031	xylE	1	53607.40820000006	53607.40820000006	Da	EcoCyc
GK1	b3648	gmk	2	23592.424300000013	47184.84860000003	Da	Davidi et al.
GLCtex_copy1	b4036	lamB	3	49911.64310000007	149734.9293000002	Da	EcoCyc
FUMt2_2pp	b3528	dctA	1	45435.73190000005	45435.73190000005	Da	EcoCyc
ACt2rpp	b0010	satP	1	20071	20071	Da	EcoCyc
PRASCSi	b2476	purC	3	26994.692700000007	80984.07810000001	Da	Davidi et al.
MTHFC	b0529	folD	2	31043.375400000026	62086.75080000005	Da	Davidi et al.
MTHFD	b0529	folD	2	31043.375400000026	62086.75080000005	Da	Davidi et al.
MALt2_2pp	b3528	dctA	1	45435.73190000005	45435.73190000005	Da	EcoCyc
GLUt2rpp	b4077	gltP	1	47158.59530000004	47158.59530000004	Da	EcoCyc
ACGK	b3959	argB	2	27159.223499999993	54318.446999999986	Da	EcoCyc
HSTPT	b2021	hisC	2	39359.66870000007	78719.33740000013	Da	EcoCyc
THDPS	b0166	dapD	2	29891.73429999999	59783.46859999998	Da	Davidi et al.
PRAIi	b1262	trpC	1	49491.724000000075	49491.724000000075	Da	Davidi et al.
MTHFR2	b3941	metF	4	33102.3431	132409.3724	Da	Davidi et al.
NTP5	b4161	rsgA	1	39192.83790000006	39192.83790000006	Da	EcoCyc
GLNS	b3870	glnA	12	51903.16590000002	622837.9908000003	Da	EcoCyc
ACGS	b2818	argA	6	49194.605800000034	295167.63480000023	Da	Davidi et al.
PRAIS	b2499	purM	2	36853.62070000003	73707.24140000006	Da	Davidi et al.
HISTP	b2022	hisB	2	40277.51420000005	80555.0284000001	Da	EcoCyc
LDH_D	b1380	ldhA	4	36534.37890000004	146137.51560000016	Da	EcoCyc
KAS15	b1091	fabH	2	33514.741300000045	67029.48260000009	Da	EcoCyc
T2DECAI	b0954	fabA	2	18968.838600000003	37937.677200000006	Da	EcoCyc
3OAS161	b2323	fabB	2	42612.87280000006	85225.74560000013	Da	EcoCyc
DHQS	b3389	aroB	1	38880.53910000005	38880.53910000005	Da	Davidi et al.
EAR161x	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
PGCD	b2913	serA	4	44175.247800000034	176700.99120000013	Da	Davidi et al.
3OAS141	b2323	fabB	2	42612.87280000006	85225.74560000013	Da	EcoCyc
3OAR121	b1093	fabG	4	25560.01369999998	102240.05479999993	Da	Davidi et al.
ADSL1r	b1131	purB	4	51542.15810000002	206168.6324000001	Da	Davidi et al.
AICART	b4006	purH	1	57328.55670000012	57328.55670000012	Da	EcoCyc
EAR141x	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
EAR181x	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
TPI	b3919	tpiA	2	26971.50249999998	53943.00499999996	Da	Davidi et al.
3OAR120	b1093	fabG	4	25560.01369999998	102240.05479999993	Da	Davidi et al.
EAR180x	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
SO4t2pp	b2413	cysZ	1	29305	29305	Da	EcoCyc
EAR180y	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
